line_number,lyric_text,song_id
1,"Your little hand's wrapped around my finger, and it's",49
2,So quiet in the world tonight,49
3,"Your little eyelids flutter 'cause you're dreaming, so I",49
4,"Tuck you in, turn on your favorite night light",49
5,"To you, everything's funny",49
6,You got nothing to regret,49
7,"I'd give all I have, honey",49
8,If you could stay like that,49
9,"Oh darling, don't you ever grow up",49
10,Don't you ever grow up,49
11,Just stay this little,49
12,"Oh darling, don't you ever grow up",49
13,Don't you ever grow up,49
14,It could stay this simple,49
15,I won't let nobody hurt you,49
16,Won't let no one break your heart,49
17,And no one will desert you,49
18,Just try to never grow up,49
19,Never grow up,49
20,"You're in the car on the way to the movies, and you're",49
21,Mortified your mom's dropping you off,49
22,"At fourteen, there's just so much you can't do",49
23,And you can't wait to move out someday and call your own shots,49
24,But don't make her drop you off around the block,49
25,"Remember that she's getting older, too",49
26,And don't lose the way that you dance,49
27,Around in your PJ's getting ready for school,49
28,"Oh darling, don't you ever grow up",49
29,Don't you ever grow up,49
30,Just stay this little,49
31,"Oh darling, don't you ever grow up",49
32,Don't you ever grow up,49
33,It could stay this simple,49
34,And no one's ever burned you,49
35,Nothing's ever left you scarred,49
36,And even though you want to,49
37,Just try to never grow up,49
38,Take pictures in your mind of your childhood room,49
39,Memorize what it sounded like when your dad gets home,49
40,"Remember the footsteps, remember the words said",49
41,And all your little brother's favorite songs,49
42,I just realized everything I have is someday gonna be gone,49
43,"So here I am in my new apartment, in a",49
44,"Big city, they just dropped me off",49
45,It's so much colder than I thought it would be,49
46,So I tuck myself in and turn my night light on,49
47,Wish I'd never grown up,49
48,Wish I'd never grown up,49
49,"Oh, I don't wanna grow up",49
50,Wish I'd never grown up,49
51,I could still be little,49
52,"Oh, I don't wanna grow up",49
53,Wish I'd never grown up,49
54,It could still be simple,49
55,"Oh darling, don't you ever grow up",49
56,Don't you ever grow up,49
57,Just stay this little,49
58,"Oh darling, don't you ever grow up",49
59,Don't you ever grow up,49
60,Could stay this simple,49
61,I won't let nobody hurt you,49
62,Never grow up,49
63,Won't let no one break your heart,49
64,And even though you want to,49
65,"Please try to never grow, oh, oh",49
66,Never grow up,49
67,"Just never grow up, oh",49
68,Never grow up,49
69,Just never grow up,49
