line_number,lyric_text,song_id
1,There I was again tonight,50
2,"Forcing laughter, faking smiles",50
3,"Same old tired, lonely place",50
4,Walls of insincerity,50
5,Shifting eyes and vacancy,50
6,Vanished when I saw your face,50
7,All I can say is it was enchanting to meet you,50
8,"Your eyes whispered, ""Have we met?""",50
9,"Across the room, your silhouette",50
10,Starts to make its way to me,50
11,The playful conversation starts,50
12,Counter all your quick remarks,50
13,Like passing notes in secrecy,50
14,And it was enchanting to meet you,50
15,All I can say is I was enchanted to meet you,50
16,"This night is sparkling, don't you let it go",50
17,"I'm wonderstruck, blushing all the way home",50
18,I'll spend forever wondering if you knew,50
19,I was enchanted to meet you,50
20,The lingering question kept me up,50
21,"2 am, who do you love?",50
22,I wonder till I'm wide awake,50
23,And now I'm pacing back and forth,50
24,Wishing you were at my door,50
25,I'd open up and you would say,50
26,"""Hey, it was enchanting to meet you""",50
27,All I know is I was enchanted to meet you,50
28,"This night is sparkling, don't you let it go",50
29,"I'm wonderstruck, blushing all the way home",50
30,I'll spend forever wondering if you knew,50
31,"This night is flawless, don't you let it go",50
32,"I'm wonderstruck, dancing around all alone",50
33,I'll spend forever wondering if you knew,50
34,I was enchanted to meet you,50
35,This is me praying that,50
36,This was the very first page,50
37,Not where the storyline ends,50
38,My thoughts will echo your name,50
39,Until I see you again,50
40,These are the words I held back,50
41,As I was leaving too soon,50
42,I was enchanted to meet you,50
43,Please don't be in love with someone else,50
44,Please don't have somebody waiting on you,50
45,Please don't be in love with someone else,50
46,Please don't have somebody waiting on you,50
47,"This night is sparkling, don't you let it go",50
48,"I'm wonderstruck, blushing all the way home",50
49,I'll spend forever wondering if you knew,50
50,"This night is flawless, don't you let it go",50
51,"I'm wonderstruck, dancing around all alone",50
52,I'll spend forever wondering if you knew,50
53,I was enchanted to meet you,50
54,Please don't be in love with someone else,50
55,Please don't have somebody waiting on you,50
