line_number,lyric_text,song_id
1,Now go stand in the corner and think about what you did,51
2,"Ha-ha, time for a little revenge",51
3,"The story starts when it was hot, and it was summer and",51
4,"I had it all, I had him right there where I wanted him",51
5,"She came along, got him alone, and let's hear the applause",51
6,"She took him faster than you could say ""sabotage""",51
7,"I never saw it coming, wouldn't have suspected it",51
8,I underestimated just who I was dealing with,51
9,She had to know the pain was beating on me like a drum,51
10,She underestimated just who she was stealing from,51
11,"She's not a saint, and she's not what you think",51
12,"She's an actress, whoa",51
13,"He was a moth to the flame, she was holding the matches, whoa",51
14,Soon she's gonna find stealing other people's toys on the playground won't make you many friends,51
15,"She should keep in mind, she should keep in mind",51
16,There is nothing I do better than revenge,51
17,"She looks at life like it's a party, and she's on the list",51
18,"She looks at me like I'm a trend, and she's so over it",51
19,I think her ever-present frown is a little troubling,51
20,And she thinks I'm psycho 'cause I like to rhyme her name with things,51
21,But sophistication isn't what you wear or who you know,51
22,Or pushing people down to get where you wanna go,51
23,"They didn't teach you that in prep school, so it's up to me",51
24,That no amount of vintage dresses gives you dignity,51
25,"She's not a saint, and she's not what you think",51
26,"She's an actress, whoa",51
27,"He was a moth to the flame, she was holding the matches, whoa",51
28,Soon she's gonna find stealing other people's toys on the playground won't make you many friends,51
29,"She should keep in mind, she should keep in mind",51
30,There is nothing I do better than revenge,51
31,"I'm just another thing for you to roll your eyes at, honey",51
32,"You might have him, but haven't you heard?",51
33,"I'm just another thing for you to roll your eyes at, honey",51
34,"You might have him, but I always get the last word",51
35,Whoa,51
36,"She's not a saint, and she's not what you think",51
37,"She's an actress, whoa",51
38,"He was a moth to the flame, she was holding the matches, whoa",51
39,Soon she's gonna find stealing other people's toys on the playground won't make you many friends,51
40,"She should keep in mind, she should keep in mind",51
41,There is nothing I do better than revenge,51
42,Do you still feel like you know what you're doing?,51
43,"'Cause I don't think you do, oh",51
44,Do you still feel like you know what you're doing?,51
45,"I don't think you do, I don't think you do",51
46,Let's hear the applause,51
47,Come show me how much better you are,51
48,So you deserve some applause,51
49,'Cause you're so much better,51
50,"She took him faster than you could say ""sabotage""",51
