line_number,lyric_text,song_id
1,"When Emma falls in love, she paces the floor",59
2,Closes the blinds and locks the door,59
3,"When Emma falls in love, she calls up her mom",59
4,Jokes about the ways that this one could go wrong,59
5,She waits and takes her time,59
6,'Cause little Miss Sunshine always thinks it's gonna rain,59
7,"When Emma falls in love, I know that boy will never be the same",59
8,'Cause she's the kind of book that you can't put down,59
9,Like if Cleopatra grew up in a small town,59
10,And all the bad boys would be good boys,59
11,If they only had a chance to love her,59
12,And to tell you the truth,59
13,Sometimes I wish I was her,59
14,"When Emma falls in love, it's all on her face",59
15,Hangs in the air like stars in outer space,59
16,"When Emma falls in love, she disappears",59
17,And we all just laugh after seeing it all these years,59
18,"When Emma falls apart, it's when she's alone",59
19,She takes on the pain and bears it on her own,59
20,"'Cause when Emma falls in love, she's in it for keeps",59
21,She won't walk away unless she knows she absolutely has to leave,59
22,And she's the kind of book that you can't put down,59
23,Like if Cleopatra grew up in a small town,59
24,And all the bad boys would be good boys,59
25,If they only had a chance to love her,59
26,And to tell you the truth,59
27,Sometimes I wish I was her,59
28,"Well, she's so New York",59
29,When she's in L.A.,59
30,She won't lose herself in love the way that I did,59
31,'Cause she'll call you out,59
32,She'll put you in your place,59
33,"When Emma falls in love, I'm learning",59
34,Emma met a boy with eyes like a man,59
35,Turns out her heart fits right in the palm of his hand,59
36,Now he'll be her shelter when it rains,59
37,"Little does he know, his whole world's about to change",59
38,'Cause she's the kind of book that you can't put down,59
39,Like if Cleopatra grew up in a small town,59
40,And all the bad boys would be good boys,59
41,If they only had a chance to love her,59
42,And to tell you the truth,59
43,Sometimes I wish I was her,59
44,"Yeah, between me and you",59
45,Sometimes I wish I was her,59
