line_number,lyric_text,song_id
1,"I was supposed to be sent away, but they forgot to come and get me",207
2,I was a functioning alcoholic till nobody noticed my new aesthetic,207
3,"All of this to say, I hope you're okay, but you're the reason",207
4,"And no one here's to blame, but what about your quiet treason?",207
5,"And for a fortnight there, we were forever",207
6,"Run into you sometimes, ask about the weather",207
7,"Now you're in my backyard, turned into good neighbors",207
8,Your wife waters flowers,207
9,I wanna kill her,207
10,All my mornings are Mondays stuck in an endless February,207
11,"I took the miracle move-on drug, the effects were temporary",207
12,"And I love you, it's ruining my life",207
13,"I love you, it's ruining my life",207
14,I touched you for only a fortnight,207
15,I touched you,207
16,But I touched you,207
17,"And for a fortnight there, we were forever",207
18,"Run into you sometimes, ask about the weather",207
19,"Now you're in my backyard, turned into good neighbors",207
20,Your wife waters flowers,207
21,I wanna kill her,207
22,"And for a fortnight there, we were together",207
23,"Run into you sometimes, comment on my sweater",207
24,"Now you're at the mailbox, turned into good neighbors",207
25,My husband is cheating,207
26,I wanna kill him,207
27,"I love you, it's ruining my life",207
28,"I love you, it's ruining my life",207
29,I touched you for only a fortnight,207
30,I touched you,207
31,I touched you,207
32,"I love you, it's ruining my life",207
33,"I love you, it's ruining my life",207
34,I touched you for only a fortnight,207
35,I touched you,207
36,I touched you,207
37,"Thought of calling ya, but you won't pick up",207
38,Another fortnight lost in America,207
39,"Move to Florida, buy the car you want",207
40,"But it won't start up till you touch, touch, touch me",207
41,"Thought of calling ya, but you won't pick up",207
42,Another fortnight lost in America,207
43,"Move to Florida, buy the car you want",207
44,"But it won't start up till I touch, touch, touch you",207
