line_number,lyric_text,song_id
1,You left your typewriter at my apartment,208
2,Straight from the Tortured Poets Department,208
3,I think some things I never say,208
4,"Like, ""Who uses typewriters anyway?"" But",208
5,"You're in self-sabotage mode, throwing spikes down on the road",208
6,But I've seen this episode and still loved the show,208
7,Who else decodes you?,208
8,And who's gonna hold you like me?,208
9,"And who's gonna know you, if not me?",208
10,I laughed in your face and said,208
11,"""You're not Dylan Thomas",208
12,I'm not Patti Smith,208
13,This ain't the Chelsea Hotel,208
14,"We're modern idiots""",208
15,And who's gonna hold you like me?,208
16,Nobody,208
17,No-fucking-body,208
18,Nobody,208
19,You smoked then ate seven bars of chocolate,208
20,We declared Charlie Puth should be a bigger artist,208
21,"I scratch your head, you fall asleep",208
22,Like a tattooed golden retriever,208
23,"But you awaken with dread, pounding nails in your head",208
24,But I've read this one where you come undone,208
25,I chose this cyclone with you,208
26,And who's gonna hold you like me? (Who's gonna hold you? Who's gonna hold you?),208
27,And who's gonna know you like me? (Who's gonna know you?),208
28,I laughed in your face and said,208
29,"""You're not Dylan Thomas",208
30,I'm not Patti Smith,208
31,This ain't the Chelsea Hotel,208
32,"We're modern idiots""",208
33,And who's gonna hold you like me? (Who's gonna hold you? Who's gonna hold you?),208
34,No-fucking-body (Who's gonna hold you? Who's gonna hold you?),208
35,Nobody (Who's gonna hold you? Gonna know you? Gonna troll you?),208
36,Nobody,208
37,Sometimes I wonder if you're gonna screw this up with me,208
38,But you told Lucy you'd kill yourself if I ever leave,208
39,"And I had said that to Jack about you, so I felt seen",208
40,Everyone we know understands why it's meant to be,208
41,'Cause we're crazy,208
42,So tell me,208
43,Who else is gonna know me?,208
44,"At dinner, you take my ring off my middle finger and put it on the one",208
45,"People put wedding rings on, and that's the closest I've come",208
46,To my heart exploding,208
47,Who's gonna hold you?,208
48,Me,208
49,Who's gonna know you?,208
50,Me,208
51,"""And you're not Dylan Thomas",208
52,I'm not Patti Smith,208
53,This ain't the Chelsea Hotel,208
54,"We're two idiots""",208
55,Who's gonna hold you?,208
56,Who's gonna hold you? (Who's gonna hold you?),208
57,Who's gonna hold you? (Who's gonna hold you?),208
58,Who's gonna hold you?,208
59,Who's gonna hold you?,208
60,Who's gonna hold you? Gonna know you? Gonna troll you?,208
61,You left your typewriter at my apartment,208
62,Straight from the Tortured Poets Department,208
63,Who else decodes you?,208
