line_number,lyric_text,song_id
1,Did you really beam me up?,210
2,In a cloud of sparkling dust,210
3,Just to do experiments on,210
4,Tell me I was the chosen one,210
5,Show me that this world is bigger than us,210
6,Then sent me back where I came from,210
7,"For a moment, I knew cosmic love",210
8,"Now I'm down bad, crying at the gym",210
9,Everything comes out teenage petulance,210
10,"""Fuck it if I can't have him""",210
11,"""I might just die, it would make no difference""",210
12,"Down bad, waking up in blood",210
13,"Staring at the sky, come back and pick me up",210
14,Fuck it if I can't have us,210
15,I might just not get up,210
16,I might stay down bad,210
17,Fuck it if I can't have him,210
18,Down bad,210
19,Fuck it if I can't have him,210
20,Did you take all my old clothes?,210
21,Just to leave me here naked and alone,210
22,In a field in my same old town,210
23,That somehow seems so hollow now,210
24,They'll say I'm nuts if I talk about the existence of you,210
25,"For a moment, I was heaven struck",210
26,"Now I'm down bad, crying at the gym (Crying at the gym)",210
27,Everything comes out teenage petulance,210
28,"""Fuck it if I can't have him"" (Fuck it if I can't have him)",210
29,"""I might just die, it would make no difference""",210
30,"Down bad, waking up in blood (Waking up in blood)",210
31,"Staring at the sky, come back and pick me up",210
32,Fuck it if I can't have us,210
33,I might just not get up,210
34,I might stay down bad,210
35,Like I lost my twin,210
36,Fuck it if I can't have him (Down bad),210
37,Down bad,210
38,Waving at the ship,210
39,Fuck it if I can't have him,210
40,I loved your hostile takeovers,210
41,Encounters closer and closer,210
42,All your indecent exposures,210
43,How dare you say that it's—,210
44,I'll build you a fort on some planet,210
45,Where they can all understand it,210
46,How dare you think it's romantic,210
47,Leaving me safe and stranded,210
48,"'Cause fuck it, I was in love",210
49,So fuck you if I can't have us,210
50,"'Cause fuck it, I was in love",210
51,"Now I'm down bad, crying at the gym (Crying at the gym)",210
52,Everything comes out teenage petulance,210
53,"""Fuck it if I can't have him"" (Can't have him)",210
54,"""I might just die, it would make no difference""",210
55,"Down bad, waking up in blood (Waking up in blood)",210
56,"Staring at the sky, come back and pick me up",210
57,Fuck it if I can't have us,210
58,I might just not get up,210
59,I might stay down bad,210
60,Like I lost my twin,210
61,Fuck it if I can't have him (Down bad),210
62,Down bad,210
63,Waving at the ship,210
64,Fuck it if I can't have him,210
65,Like I lost my twin,210
66,Fuck it if I can't have him,210
67,Down bad,210
68,Waving at the ship,210
69,Fuck it if I can't have him,210
