line_number,lyric_text,song_id
1,Drowning in the Blue Nile,215
2,"He sent me ""Downtown Lights""",215
3,I hadn't heard it in a while,215
4,My boredom's bone-deep,215
5,This cage was once just fine,215
6,Am I allowed to cry?,215
7,I dream of cracking locks,215
8,Throwing my life to the wolves or the ocean rocks,215
9,"Crashing into him tonight, he's a paradox",215
10,"I'm seeing visions, am I bad?",215
11,Or mad? Or wise?,215
12,"What if he's written ""mine"" on my upper thigh only in my mind?",215
13,One slip and falling back into the hedge maze,215
14,"Oh, what a way to die",215
15,I keep recalling things we never did,215
16,"Messy top lip kiss, how I long for our trysts",215
17,Without ever touching his skin,215
18,How can I be guilty as sin?,215
19,I keep these longings locked,215
20,"In lowercase, inside a vault",215
21,Someone told me there's no such thing as bad thoughts,215
22,Only your actions talk,215
23,These fatal fantasies giving way to labored breath,215
24,"Taking all of me, we've already done it in my head",215
25,If it's make-believe,215
26,Why does it feel like a vow we'll both uphold somehow?,215
27,"What if he's written ""mine"" on my upper thigh only in my mind?",215
28,One slip and falling back into the hedge maze,215
29,"Oh, what a way to die",215
30,"My bedsheets are ablaze, I've screamed his name",215
31,Building up like waves crashing over my grave,215
32,Without ever touching his skin,215
33,How can I be guilty as sin?,215
34,What if I roll the stone away?,215
35,They're gonna crucify me anyway,215
36,What if the way you hold me is actually what's holy?,215
37,If long-suffering propriety is what they want from me,215
38,They don't know how you've haunted me so stunningly,215
39,I choose you and me religiously,215
40,"What if he's written ""mine"" on my upper thigh only in my mind?",215
41,One slip and falling back into the hedge maze,215
42,"Oh, what a way to die",215
43,I keep recalling things we never did,215
44,"Messy top lip kiss, how I long for our trysts",215
45,Without ever touching his skin,215
46,How can I be guilty as sin?,215
47,"He sent me ""Downtown Lights""",215
48,I hadn't heard it in a while,215
49,Am I allowed to cry?,215
