line_number,lyric_text,song_id
1,This happens once every few lifetimes,221
2,These chemicals hit me like white wine,221
3,What if I told you I'm back?,221
4,The hospital was a drag,221
5,Worst sleep that I ever had,221
6,I circled you on a map,221
7,I haven't come around in so long,221
8,But I'm coming back so strong,221
9,So when I,221
10,"Touch down, call the amateurs and cut 'em from the team",221
11,"Ditch the clowns, get the crown, baby, I'm the one to beat",221
12,'Cause the sign on your heart said it's still reserved for me,221
13,"Honestly, who are we to fight the alchemy?",221
14,"Hey, you",221
15,What if I told you we're cool?,221
16,That child's play back in school is forgiven under my rule,221
17,I haven't come around in so long,221
18,But I'm making a comeback to where I belong,221
19,So when I,221
20,"Touch down, call the amateurs and cut 'em from the team",221
21,"Ditch the clowns, get the crown, baby, I'm the one to beat",221
22,'Cause the sign on your heart said it's still reserved for me,221
23,"Honestly, who are we to fight the alchemy?",221
24,"These blokes warm the benches, we been on a winning streak",221
25,"He jokes that it's heroin but this time with an ""E""",221
26,'Cause the sign on your heart said it's still reserved for me,221
27,"Honestly, who are we to fight the alchemy?",221
28,"Shirts off, and your friends lift you up over their heads",221
29,"Beer sticking to the floor, cheers chanted 'cause they said",221
30,"There was no chance, tryna be the greatest in the league",221
31,Where's the trophy?,221
32,He just comes running over to me,221
33,"Touch down, call the amateurs and cut 'em from the team",221
34,"Ditch the clowns, get the crown, baby, I'm the one to beat",221
35,'Cause the sign on your heart said it's still reserved for me,221
36,"Honestly, who are we to fight the alchemy?",221
37,"These blokes warm the benches, we been on a winning streak",221
38,"He jokes that it's heroin but this time with an ""E""",221
39,'Cause the sign on your heart said it's still reserved for me,221
40,"Honestly, who are we to fight the alchemy?",221
41,This happens once every few lifetimes,221
42,These chemicals hit me like white wine,221
