line_number,lyric_text,song_id
1,"""You look like Clara Bow",222
2,"In this light, remarkable",222
3,"All your life, did you know",222
4,"You'd be picked like a rose?""",222
5,"""I'm not trying to exaggerate",222
6,But I think I might die if it happened,222
7,Die if it happened to me,222
8,No one in my small town,222
9,"Thought I'd see the lights of Manhattan""",222
10,"""This town is fake, but you're the real thing",222
11,Breath of fresh air through smoke rings,222
12,"Take the glory, give everything",222
13,"Promise to be dazzling""",222
14,"""You look like Stevie Nicks",222
15,"In '75, the hair and lips",222
16,Crowd goes wild at her fingertips,222
17,"Half moonshine, a full eclipse""",222
18,"""I'm not trying to exaggerate",222
19,But I think I might die if I made it,222
20,Die if I made it,222
21,No one in my small town,222
22,Thought I'd meet these suits in L.A.,222
23,"They all wanna say""",222
24,"""This town is fake, but you're the real thing",222
25,Breath of fresh air through smoke rings,222
26,"Take the glory, give everything",222
27,"Promise to be dazzling""",222
28,"""The crown is stained, but you're the real queen",222
29,Flesh and blood amongst war machines,222
30,You're the new god we're worshipping,222
31,"Promise to be dazzling""",222
32,Beauty is a beast that roars,222
33,Down on all fours,222
34,"Demanding, ""More""",222
35,Only when your girlish glow,222
36,Flickers just so,222
37,Do they let you know?,222
38,It's hell on earth to be heavenly,222
39,"Them's the breaks, they don't come gently",222
40,"""You look like Taylor Swift",222
41,"In this light, we're loving it",222
42,You've got edge she never did,222
43,"The future's bright, dazzling""",222
