line_number,lyric_text,song_id
1,Lilac short skirt,224
2,The one that fits me like skin,224
3,Did your research,224
4,You knew the price goin' in,224
5,"And I'll tell you one thing, honey",224
6,"I can tell when somebody still wants me, come clean",224
7,"Standing at the bar like something's funny, bubbly",224
8,"Once you fix your face, I'm goin' in",224
9,Whether I'm gonna be your wife or,224
10,"Gonna smash up your bike, I",224
11,Haven't decided yet,224
12,But I'm gonna get you back,224
13,Whether I'm gonna curse you out or,224
14,"Take you back to my house, I",224
15,Haven't decided yet,224
16,But I'm gonna get you back,224
17,I hear the whispers in your eyes,224
18,I'll make you wanna think twice,224
19,You'll find that you were never not mine (You're mine),224
20,"Small talk, big love",224
21,Act like I don't care what you did,224
22,I'm an Aston Martin,224
23,That you steered straight into the ditch,224
24,Then ran and hid,224
25,"And I'll tell you one thing, honey",224
26,I can take the upper hand and touch your body,224
27,Flip the script and leave you like a dumb house party,224
28,Or I might just love you 'til the end,224
29,Whether I'm gonna be your wife or,224
30,"Gonna smash up your bike, I",224
31,Haven't decided yet,224
32,But I'm gonna get you back,224
33,Whether I'm gonna flip you off or,224
34,Pull you into the closet,224
35,I haven't decided yet,224
36,But I'm gonna get you back,224
37,I hear the whispers in your eyes,224
38,I'll make you wanna think twice,224
39,You'll find that you were never not mine (You're mine),224
40,"I can feel it comin', hummin' in the way you move",224
41,"Push the reset button, we're becoming something new",224
42,"Say you got somebody, I'll say ""I got someone too""",224
43,"Even if it's handcuffed, I'm leaving here with you",224
44,Bygones will be bygone eras fadin' into gray (Fadin' into gray),224
45,We broke all the pieces but still want to play the game (Oh),224
46,"Told my friends I hate you, but I love you just the same",224
47,"Pick your poison, babe",224
48,I'm poison either way,224
49,Whether I'm gonna be your wife or,224
50,"Gonna smash up your bike, I",224
51,Haven't decided yet,224
52,But I'm gonna get you back,224
53,Whether I'm gonna curse you out or,224
54,"Take you back to my house, I",224
55,Haven't decided yet,224
56,But I'm gonna get you back,224
57,I hear the whispers in your eyes,224
58,I'll make you wanna think twice,224
59,You'll find that you were never not mine,224
60,I'm gonna get you back,224
