line_number,lyric_text,song_id
1,"State the obvious, I didn't get my perfect fantasy",2
2,I realize you love yourself more than you could ever love me,2
3,So go and tell your friends that I'm obsessive and crazy,2
4,"That's fine, you won't mind if I say",2
5,And by the way,2
6,I hate that stupid old pickup truck,2
7,You never let me drive,2
8,You're a redneck heartbreak,2
9,Who's really bad at lying,2
10,So watch me strike a match,2
11,On all my wasted time,2
12,As far as I'm concerned you're,2
13,Just another picture to burn,2
14,There's no time for tears,2
15,I'm just sitting here planning my revenge,2
16,There's nothing stopping me,2
17,From going out with all of your best friends,2
18,And if you come around saying sorry to me,2
19,My daddy's gonna show you how sorry you'll be,2
20,'Cause I hate that stupid old pickup truck,2
21,You never let me drive,2
22,You're a redneck heartbreak,2
23,Who's really bad at lying,2
24,So watch me strike a match,2
25,On all my wasted time,2
26,As far as I'm concerned you're,2
27,Just another picture to burn,2
28,And if you're missing me,2
29,You'd better keep it to yourself,2
30,'Cause coming back around here,2
31,Would be bad for your health,2
32,'Cause I hate that stupid old pickup truck,2
33,You never let me drive,2
34,You're a redneck heartbreak,2
35,Who's really bad at lying,2
36,So watch me strike a match,2
37,On all my wasted time,2
38,In case you haven't heard,2
39,"I really, really hate that",2
40,Stupid old pickup truck,2
41,You never let me drive,2
42,You're a redneck heartbreak,2
43,Who's really bad at lying,2
44,So watch me strike a match,2
45,On all my wasted time,2
46,As far as I'm concerned you're,2
47,Just another picture to burn,2
48,"Burn, burn, burn, baby, burn",2
49,You're just another picture to burn,2
50,"Baby, burn",2
