line_number,lyric_text,song_id
1,Drew looks at me,3
2,I fake a smile so he won't see,3
3,That I want and I'm needing,3
4,Everything that we should be,3
5,"I'll bet she's beautiful, that girl he talks about",3
6,And she's got everything that I have to live without,3
7,Drew talks to me,3
8,I laugh 'cause it's just so funny,3
9,That I can't even see,3
10,Anyone when he's with me,3
11,"He says he's so in love, he's finally got it right",3
12,I wonder if he knows he's all I think about at night,3
13,He's the reason for the teardrops on my guitar,3
14,The only thing that keeps me wishing on a wishing star,3
15,He's the song in the car,3
16,"I keep singing, don't know why I do",3
17,Drew walks by me,3
18,Can he tell that I can't breathe?,3
19,"And there he goes, so perfectly",3
20,The kind of flawless I wish I could be,3
21,"She'd better hold him tight, give him all her love",3
22,Look in those beautiful eyes and know she's lucky 'cause,3
23,He's the reason for the teardrops on my guitar,3
24,The only thing that keeps me wishing on a wishing star,3
25,He's the song in the car,3
26,"I keep singing, don't know why I do",3
27,"So I drive home alone, as I turn off the light",3
28,I'll put his picture down and maybe get some sleep tonight,3
29,'Cause he's the reason for the teardrops on my guitar,3
30,The only one who's got enough of me to break my heart,3
31,He's the song in the car,3
32,"I keep singing, don't know why I do",3
33,"He's the time taken up, but there's never enough",3
34,And he's all that I need to fall into,3
35,Drew looks at me,3
36,I fake a smile so he won't see,3
