line_number,lyric_text,song_id
1,"I don't know what I want, so don't ask me",4
2,'Cause I'm still trying to figure it out,4
3,"Don't know what's down this road, I'm just walking",4
4,Trying to see through the rain coming down,4
5,Even though I'm not the only one,4
6,Who thinks the way I do,4
7,"I'm alone, on my own",4
8,And that's all I know,4
9,"I'll be strong, I'll be wrong",4
10,"Oh, but life goes on",4
11,"Oh, I'm just a girl",4
12,Trying to find a place in this world,4
13,"Got the radio on, my old blue jeans",4
14,And I'm wearing my heart on my sleeve,4
15,"Feeling lucky today, got the sunshine",4
16,Could you tell me what more do I need?,4
17,"And tomorrow's just a mystery, oh, yeah",4
18,But that's okay,4
19,"I'm alone, on my own",4
20,And that's all I know,4
21,"I'll be strong, I'll be wrong",4
22,"Oh, but life goes on",4
23,"Oh, I'm just a girl",4
24,Trying to find a place in this world,4
25,"Maybe, I'm just a girl on a mission",4
26,But I'm ready to fly,4
27,"I'm alone, on my own",4
28,And that's all I know,4
29,"Oh, I'll be strong, I'll be wrong",4
30,"Oh, but life goes on",4
31,"Oh, I'm alone, on my own",4
32,And that's all I know,4
33,"Oh, I'm just a girl",4
34,Trying to find a place in this world,4
35,"Oh, I'm just a girl",4
36,"Oh, I'm just a girl, oh-oh",4
37,"Oh, I'm just a girl",4
