line_number,lyric_text,song_id
1,I didn't know what I would find,6
2,"When I went looking for a reason, I know",6
3,I didn't read between the lines,6
4,"And, baby, I've got nowhere to go",6
5,I tried to take the road less traveled by,6
6,But nothing seems to work the first few times,6
7,Am I right?,6
8,So how can I ever try to be better?,6
9,Nobody ever lets me in,6
10,"I can still see you, this ain't the best view",6
11,On the outside looking in,6
12,I've been a lot of lonely places,6
13,I've never been on the outside,6
14,"You saw me there, but never knew",6
15,That I would give it all up to be,6
16,"A part of this, a part of you",6
17,"And now it's all too late, so you see",6
18,You could've helped if you had wanted to,6
19,But no one notices until it's too late to do anything,6
20,How can I ever try to be better?,6
21,Nobody ever lets me in,6
22,"I can still see you, this ain't the best view",6
23,On the outside looking in,6
24,I've been a lot of lonely places,6
25,I've never been on the outside,6
26,"Oh, yeah",6
27,How can I ever try to be better?,6
28,Nobody ever lets me in,6
29,"And I can still see you, this ain't the best view",6
30,On the outside looking in,6
31,I've been a lot of lonely places,6
32,I've never been on the outside,6
