line_number,lyric_text,song_id
1,Cory's eyes are like a jungle,8
2,"He smiles, it's like the radio",8
3,He whispers songs into my window,8
4,In words that nobody knows,8
5,There's pretty girls on every corner,8
6,That watch him as he's walking home,8
7,"Saying, does he know? Will you ever know?",8
8,"You're beautiful, every little piece, love",8
9,Don't you know you're really gonna be someone?,8
10,Ask anyone,8
11,And when you find everything you looked for,8
12,I hope your life leads you back to my door,8
13,"Oh, but if it don't",8
14,Stay beautiful,8
15,Cory finds another way to be the highlight of my day,8
16,I'm taking pictures in my mind so I can save them for a rainy day,8
17,It's hard to make a conversation when he's taking my breath away,8
18,"I should say, hey, by the way",8
19,"You're beautiful, every little piece, love",8
20,Don't you know you're really gonna be someone?,8
21,Ask anyone,8
22,And when you find everything you looked for,8
23,I hope your life leads you back to my door,8
24,"Oh, but if it don't, stay beautiful",8
25,If you and I are a story that never gets told,8
26,If what you are is a daydream I'll never get to hold,8
27,At least you'll know,8
28,"You're beautiful, every little piece, love",8
29,Don't you know you're really gonna be someone?,8
30,Ask anyone,8
31,And when you find everything you looked for,8
32,I hope your life leads you back to my front door,8
33,"Oh, but if it don't",8
34,"Will you stay beautiful, oh, beautiful, beautiful",8
35,"Beautiful, oh, beautiful, beautiful?",8
36,La la la,8
37,"Oh, oh-oh-oh",8
38,"Oh, but if it don't",8
39,Stay beautiful,8
40,Stay beautiful,8
41,"Na, na, na, na, na",8
