line_number,lyric_text,song_id
1,It's strange to think the songs we used to sing,9
2,"The smiles, the flowers, everything is gone",9
3,"Yesterday, I found out about you",9
4,Even now just looking at you feels wrong,9
5,"You say that you'd take it all back, given one chance",9
6,It was a moment of weakness and you said yes,9
7,"You should've said no, you should've gone home",9
8,You should've thought twice before you let it all go,9
9,"You should've known that word, that what you did with her'd",9
10,Get back to me,9
11,"And I should've been there, in the back of your mind",9
12,I shouldn't be asking myself why,9
13,You shouldn't be begging for forgiveness at my feet,9
14,"You should've said no, baby, and you might still have me",9
15,You can see that I've been crying,9
16,"And baby, you know all the right things to say",9
17,But do you honestly expect me to believe,9
18,We could ever be the same?,9
19,"You say that the past is the past, you need one chance",9
20,It was a moment of weakness and you said yes,9
21,"You should've said no, you should've gone home",9
22,You should've thought twice before you let it all go,9
23,"You should've known that word, that what you did with her'd",9
24,Get back to me,9
25,"And I should've been there, in the back of your mind",9
26,I shouldn't be asking myself why,9
27,You shouldn't be begging for forgiveness at my feet,9
28,"You should've said no, baby, and you might still have me",9
29,"Oh, whoa",9
30,I can't resist,9
31,"Before you go, tell me this",9
32,Was it worth it?,9
33,Was she worth this?,9
34,"No, no",9
35,"No, no, no, no",9
36,"You should've said no, you should've gone home",9
37,You should've thought twice before you let it all go,9
38,"You should've known that word, that what you did with her'd",9
39,Get back to me,9
40,"And I should've been there, in the back of your mind",9
41,I shouldn't be asking myself why,9
42,You shouldn't be begging for forgiveness at my feet,9
43,"You should've said no, baby, and you might still have me",9
