line_number,lyric_text,song_id
1,Why would you wanna break a perfectly good heart?,14
2,Why would you wanna take our love and tear it all apart now?,14
3,Why would you wanna make the very first scar?,14
4,Why would you wanna break a perfectly good heart?,14
5,Maybe I should've seen the signs,14
6,Should've read the writing on the wall,14
7,And realized by the distance in your eyes,14
8,That I would be the one to fall,14
9,"No matter what you say, I still can't believe",14
10,That you would walk away,14
11,"It don't make sense to me, but",14
12,Why would you wanna break a perfectly good heart?,14
13,Why would you wanna take our love and tear it all apart now?,14
14,Why would you wanna make the very first scar?,14
15,Why would you wanna break a perfectly good heart?,14
16,It's not unbroken anymore,14
17,How do I get it back the way it was before?,14
18,Why would you wanna break a perfectly good heart?,14
19,Why would you wanna take our love and tear it all apart now?,14
20,Why would you wanna make the very first scar?,14
21,"Why would you wanna break, would you wanna break, yeah",14
22,Why would you wanna break a perfectly good heart?,14
23,Why would you wanna take our love and tear it all apart now?,14
24,Why would you wanna make the very first scar?,14
25,Why would you wanna break a perfectly good heart?,14
26,Mmm,14
