line_number,lyric_text,song_id
1,"Drew looks at me, I fake a smile so he won't see",15
2,That I want and I'm needing everything that we should be,15
3,"I'll bet she's beautiful, that girl he talks about",15
4,And she's got everything that I have to live without,15
5,"Drew talks to me, I laugh 'cause it's just so funny",15
6,And I can't even see anyone when he's with me,15
7,"He says he's so in love, he's finally got it right",15
8,I wonder if he knows he's all I think about at night,15
9,He's the reason for the teardrops on my guitar,15
10,The only thing that keeps me wishing on a wishing star,15
11,He's the song in the car I keep singing,15
12,Don't know why I do,15
13,"Drew walks by me, can he tell that I can't breathe?",15
14,"And there he goes, so perfectly",15
15,The kind of flawless I wish I could be,15
16,"She better hold him tight, give him all her love",15
17,Look in those beautiful eyes and know she's lucky 'cause,15
18,He's the reason for the teardrops on my guitar,15
19,The only thing that keeps me wishing on a wishing star,15
20,He's the song in the car I keep singing,15
21,Don't know why I do,15
22,"So I drive home alone, as I turn out the light",15
23,I'll put his picture down,15
24,And maybe get some sleep tonight,15
25,'Cause he's the reason for the teardrops on my guitar,15
26,The only one who's got enough of me to break my heart,15
27,He's the song in the car I keep singing,15
28,Don't know why I do,15
29,"He's the time taken up, but there's never enough",15
30,And he's all that I need to fall into,15
31,"Drew looks at me, I fake a smile so he won't see",15
