line_number,lyric_text,song_id
1,I heard you calling on the megaphone,238
2,You wanna see me all alone,238
3,"As legend has it, you",238
4,Are quite the pyro,238
5,You light the match to watch it blow,238
6,And if you'd never come for me,238
7,I might've drowned in the melancholy,238
8,"I swore my loyalty to me, myself, and I (Me, myself, I)",238
9,Right before you lit my sky up,238
10,"All that time, I sat alone in my tower",238
11,You were just honing your powers,238
12,Now I can see it all (See it all),238
13,"Late one night, you dug me out of my grave and",238
14,Saved my heart from the fate of,238
15,Ophelia (Ophelia),238
16,Keep it one hundred,238
17,"On the land, the sea, the sky (Land, sea)",238
18,Pledge allegiance to your hands,238
19,"Your team, your vibes",238
20,Don't care where the hell you been (Been),238
21,"'Cause now, you're mine (Now)",238
22,It's 'bout to be the sleepless night,238
23,You've been dreaming of,238
24,The fate of Ophelia,238
25,The eldest daughter of a nobleman,238
26,Ophelia lived in fantasy,238
27,But love was a cold bed full of scorpions,238
28,The venom stole her sanity,238
29,And if you'd never come for me (Come for me),238
30,I might've lingered in purgatory,238
31,"You wrap around me like a chain, a crown, a vine (Chain, crown, vine)",238
32,Pulling me into the fire,238
33,"All that time, I sat alone in my tower",238
34,You were just honing your powers,238
35,Now I can see it all (See it all),238
36,"Late one night, you dug me out of my grave and",238
37,Saved my heart from the fate of,238
38,Ophelia (Ophelia),238
39,Keep it one hundred,238
40,"On the land, the sea, the sky (Land, sea)",238
41,Pledge allegiance to your hands,238
42,"Your team, your vibes",238
43,Don't care where the hell you been (Been),238
44,"'Cause now, you're mine (Now)",238
45,It's 'bout to be the sleepless night,238
46,You've been dreaming of,238
47,The fate of Ophelia,238
48,'Tis locked inside my memory,238
49,And only you possess the key,238
50,No longer drowning and deceived,238
51,All because you came for me,238
52,Locked inside my memory,238
53,And only you possess the key,238
54,No longer drowning and deceived,238
55,All because you came for me,238
56,"All that time, I sat alone in my tower",238
57,You were just honing your powers,238
58,Now I can see it all (I can see it all),238
59,"Late one night, you dug me out of my grave and",238
60,Saved my heart from the fate of,238
61,Ophelia,238
62,Keep it one hundred,238
63,"On the land, the sea, the sky (Land, the sea)",238
64,Pledge allegiance to your hands (Your hands),238
65,"Your team, your vibes",238
66,Don't care where the hell you been (Been),238
67,"'Cause now, you're mine ('Cause now)",238
68,It's 'bout to be the sleepless night,238
69,You've been dreaming of,238
70,The fate of Ophelia,238
71,You saved my heart from the fate of,238
72,Ophelia,238
