line_number,lyric_text,song_id
1,"When I found you, you were young, wayward, lost in the cold",241
2,"Pulled up to you in the Jag, turned your rags into gold",241
3,The winding road leads to the chateau,241
4,"""You remind me of a younger me""",241
5,I saw potential,241
6,I'll be your father figure,241
7,I drink that brown liquor,241
8,I can make deals with the devil because my dick's bigger,241
9,This love is pure profit,241
10,Just step into my office,241
11,I dry your tears with my sleeve,241
12,Leave it with me,241
13,I protect the family,241
14,Leave it with me,241
15,I protect the family,241
16,I pay the check before it kisses the mahogany grain,241
17,"Said, ""They want to see you rise, they don't want you to reign""",241
18,I showed you all the tricks of the trade,241
19,All I ask for is your loyalty,241
20,My dear protégé,241
21,I'll be your father figure,241
22,I drink that brown liquor,241
23,I can make deals with the devil because my dick's bigger,241
24,This love is pure profit,241
25,Just step into my office,241
26,They’ll know your name in the streets,241
27,Leave it with me,241
28,I protect the family,241
29,"I saw a change in you (Saw a change, saw a change in you)",241
30,"My dear boy, they don't make loyalty like they used to (Ooh-ooh, oh, like they used to)",241
31,Your thoughtless ambition sparked the ignition,241
32,On foolish decisions which led to misguided visions,241
33,That to fulfill your dreams,241
34,You had to get rid of me,241
35,I protect the family,241
36,I was your father figure,241
37,We drank that brown liquor,241
38,"You made a deal with this devil, turns out my dick's bigger",241
39,"You want a fight, you found it",241
40,I got the place surrounded,241
41,You'll be sleeping with the fishes before you know you're drowning,241
42,Whose portrait's on the mantle?,241
43,Who covered up your scandals?,241
44,Mistake my kindness for weakness and find your card cancelled,241
45,I was your father figure,241
46,You pulled the wrong trigger,241
47,This empire belongs to me,241
48,Leave it with me,241
49,I protect the family,241
50,Leave it with me,241
51,I protect the family,241
52,Leave it with me,241
53,"“You know, you remind me of a younger me”",241
54,I saw potential,241
