line_number,lyric_text,song_id
1,"I heard you call me ""Boring Barbie"" when the coke's got you brave",244
2,High-fived my ex and then you said you're glad he ghosted me,244
3,Wrote me a song saying it makes you sick to see my face,244
4,Some people might be offended,244
5,But it's actually sweet,244
6,All the time you've spent on me,244
7,It's honestly wild,244
8,All the effort you've put in,244
9,It's actually romantic,244
10,I really got to hand it to you,244
11,No man has ever loved me like you do,244
12,Hadn't thought of you in a long time,244
13,But you keep sending me funny valentines,244
14,And I know you think it comes off vicious,244
15,"But it's precious, adorable",244
16,Like a toy Chihuahua barking at me from a tiny purse,244
17,That's how much it hurts,244
18,How many times has your boyfriend said,244
19,"""Why are we always talking 'bout her?""",244
20,It's actually sweet,244
21,All the time you've spent on me,244
22,It's honestly wild,244
23,All the effort you've put in,244
24,It's actually romantic,244
25,I really got to hand it to you,244
26,No man has ever loved me like you do,244
27,"You think I'm tacky, baby",244
28,Stop talking dirty to me,244
29,"It sounded nasty, but it",244
30,Feels like you're flirting with me,244
31,"I mind my business, God's my witness that I don't provoke it",244
32,It's kind of making me wet (Oh),244
33,'Cause it's actually sweet,244
34,All the time you've spent on me,244
35,It's honestly lovely,244
36,All the effort you've put in,244
37,It's actually romantic,244
38,"Really got to hand it to you, to you",244
39,No man has ever loved me like you do,244
40,It's actually romantic,244
41,You've just given me so much… attention!,244
42,It's actually romantic,244
43,It's so romantic,244
