line_number,lyric_text,song_id
1,They want that yacht life under chopper blades,245
2,They want those bright lights and Balenci shades,245
3,And a fat ass with a baby face,245
4,They want it all,245
5,They want that complex female character,245
6,They want that critical smash Palme d'Or,245
7,And an Oscar on their bathroom floor,245
8,They want it all,245
9,And they should have what they want,245
10,They deserve what they want,245
11,Hope they get what they want,245
12,I just want you,245
13,"Have a couple kids, got the whole block looking like you",245
14,"We tell the world to leave us the fuck alone, and they do",245
15,"Wow, got me dreaming 'bout a driveway with a basketball hoop",245
16,"Boss up, settle down, got a wish list (Wish list)",245
17,I just want you,245
18,"They want that freedom, living off the grid",245
19,They want those three dogs that they call their kids,245
20,"And that good surf, no hypocrites",245
21,They want it all,245
22,They want a contract with Real Madrid,245
23,They want that spring break that was fuckin' lit,245
24,And then that video taken off the internet,245
25,They want it all,245
26,And they should have what they want,245
27,They deserve what they want,245
28,I hope they get what they want,245
29,"I just want you (You, you, yeah)",245
30,"Have a couple kids, got the whole block looking like you",245
31,"We tell the world to leave us the fuck alone, and they do",245
32,"Wow, got me dreaming 'bout a driveway with a basketball hoop",245
33,"Boss up, settle down, got a wish list (Wish list)",245
34,I made wishes on all of the stars,245
35,"Please, God, bring me a best friend who I think is hot",245
36,"I thought I had it right once, twice, but I did not (I did not)",245
37,You caught me off my guard,245
38,I hope I get what I want (Get what I want),245
39,'Cause I know what I want,245
40,"I just want you, baby",245
41,"Have a couple kids, got the whole block looking like you (Got 'em looking like you)",245
42,"We tell the world to leave us the fuck alone, and they do",245
43,"Wow, got me dreaming 'bout a driveway with a basketball hoop",245
44,"Boss up, settle down, got a wish list (Wish list)",245
45,I just want you,245
46,"And we could have a couple kids, got the whole block looking like you (You)",245
47,"We tell the world to leave us the fuck alone, and they do (Yeah)",245
48,"Wow, and now you got me dreaming 'bout a driveway with a basketball hoop",245
49,"Boss up, settle down, got a wish list (Wish list)",245
50,I just want you,245
