line_number,lyric_text,song_id
1,"You can call me ""Honey"" if you want",248
2,Because I'm the one you want,248
3,Mmm-mmm,248
4,"When anyone called me ""Sweetheart'",248
5,It was passive aggressive,248
6,At the bar,248
7,And the bitch was telling me to back off,248
8,'Cause her man had looked at me wrong,248
9,"If anyone called me ""Honey""",248
10,It was standing in the bathroom,248
11,White teeth,248
12,They were saying that skirt don't fit me,248
13,And I cried the whole way home,248
14,But you touch my face,248
15,Redefine all of those blues,248
16,When you say,248
17,"""Honey""",248
18,"Summertime spritz, pink skies",248
19,"You can call me ""Honey"" if you want",248
20,Because I'm the one you want,248
21,"Wintergreen kiss, all mine",248
22,You give it different meaning 'cause you mean it when you talk,248
23,"Honey, I'm home, we can play house",248
24,"We can bed down, pick me up, who's the baddest in the land? What's the plan? (What's the plan?)",248
25,You could be my forever-night stand,248
26,Honey,248
27,"When anyone called me ""Sweetheart""",248
28,It was passive aggressive,248
29,At the bar,248
30,And the bitch was telling me to back off,248
31,'Cause her man had looked at me wrong,248
32,"If anyone called me ""Honey""",248
33,It was standing in the bathroom,248
34,White teeth,248
35,They were saying that skirt don't fit me,248
36,And I cried the whole way home,248
37,But you touch my face,248
38,Redefine all of those blues,248
39,When you say,248
40,"You can call me ""Honey"" if you want",248
41,Because I'm the one you want,248
42,I'm the one you want,248
43,You give it different meaning,248
44,'Cause you mean it when you talk,248
45,"Sweetie, it's yours, kicking in doors, take it to the floor, gimme more",248
46,Buy the paint in the color of your eyes (Of your eyes),248
47,And graffiti my whole damn life,248
48,Honey,248
49,When anyone called me late night,248
50,He was screwing around with my mind,248
51,"Asking, ""What are you wearing?"" Too high",248
52,To remember in the morning,248
53,"And when anyone called me ""Lovely""",248
54,They were finding ways not to praise me,248
55,But you say it like you're in awe of me,248
56,And you stay until the morning,248
57,Honey,248
58,"When anyone called me ""Sweetheart""",248
59,It was passive aggressive,248
60,At the bar,248
61,And the bitch was telling me to back off,248
62,'Cause her man had looked at me wrong (He looked at me wrong),248
63,"If anyone called me ""Honey""",248
64,It was standing in the bathroom (Yeah),248
65,White teeth,248
66,They were saying that skirt don't fit me,248
67,And I cried the whole way home (Cried the whole way home),248
68,"But you can call me ""Honey"" if you want",248
