line_number,lyric_text,song_id
1,Hey Dorothea,174
2,Do you ever stop and think about me?,174
3,When we were younger,174
4,Down in the park,174
5,"Honey, making a lark of the misery",174
6,You got shiny friends since you left town,174
7,A tiny screen's the only place I see you now,174
8,And I got nothing but well wishes for ya,174
9,Oooh,174
10,This place is the same as it ever was,174
11,Oooh,174
12,But you don't like it that way,174
13,It's never too late,174
14,To come back to my side,174
15,The stars in your eyes,174
16,Shined brighter in Tupelo,174
17,And if you're ever tired of being known,174
18,For who you know,174
19,"You know, you'll always know me",174
20,Dorothea,174
21,Dorothea,174
22,"Ooh, you're a queen",174
23,Selling dreams,174
24,Selling make up and magazines,174
25,"Ooh, from you I'd buy anything",174
26,Hey Dorothea,174
27,Do you ever stop and think about me?,174
28,When it was calmer,174
29,Skipping the prom,174
30,Just to piss off your mom,174
31,And her pageant schemes,174
32,"And damn, Dorothea",174
33,They all wanna be ya,174
34,But are you still the same soul,174
35,"I met under the bleachers, well",174
36,Oooh,174
37,I guess I'll never know,174
38,Oooh,174
39,And you'll go on with the show,174
40,But it's never too late,174
41,To come back to my side,174
42,The stars in your eyes,174
43,Shined brighter in Tupelo,174
44,And if you're ever tired of being known,174
45,For who you know,174
46,"You know, you'll always know me",174
47,Dorothea,174
48,Dorothea,174
49,Oooh,174
50,Oooh,174
51,"Ooh-woo-ooh-ooh-ooh, ooh-ooh-ooh-ooh",174
52,Oooh,174
53,Oooh,174
54,"Ooh-woo-ooh-ooh-ooh, ooh-ooh-ooh",174
55,Dorothea,174
