line_number,lyric_text,song_id
1,"Never be so kind, you forget to be clever",179
2,"Never be so clever, you forget to be kind",179
3,And if I didn't know better,179
4,I'd think you were talking to me now,179
5,If I didn't know better,179
6,I'd think you were still around,179
7,What died didn't stay dead,179
8,What died didn't stay dead,179
9,"You're alive, you're alive in my head",179
10,What died didn't stay dead,179
11,What died didn't stay dead,179
12,"You're alive, so alive",179
13,"Never be so polite, you forget your power",179
14,"Never wield such power, you forget to be polite",179
15,And if I didn't know better,179
16,I'd think you were listening to me now,179
17,If I didn't know better,179
18,I'd think you were still around,179
19,What died didn't stay dead,179
20,What died didn't stay dead,179
21,"You're alive, you're alive in my head",179
22,What died didn't stay dead,179
23,What died didn't stay dead,179
24,"You're alive, so alive",179
25,The autumn chill that wakes me up,179
26,You loved the amber skies so much,179
27,Long limbs and frozen swims,179
28,You'd always go past where our feet could touch,179
29,And I complained the whole way there,179
30,The car ride back and up the stairs,179
31,I should've asked you questions,179
32,I should've asked you how to be,179
33,Asked you to write it down for me,179
34,Should've kept every grocery store receipt,179
35,'Cause every scrap of you would be taken from me,179
36,"Watched as you signed your name, ""Marjorie""",179
37,All your closets of backlogged dreams,179
38,And how you left them all to me,179
39,What died didn't stay dead,179
40,What died didn't stay dead,179
41,"You're alive, you're alive in my head",179
42,What died didn't stay dead,179
43,What died didn't stay dead,179
44,"You're alive, so alive",179
45,And if I didn't know better,179
46,I'd think you were singing to me now,179
47,If I didn't know better,179
48,I'd think you were still around,179
49,I know better,179
50,But I still feel you all around,179
51,I know better,179
52,But you're still around,179
