line_number,lyric_text,song_id
1,It's been a long time,180
2,And seeing the shape of your name,180
3,Still spells out pain,180
4,It wasn't right,180
5,The way it all went down,180
6,Looks like you know that now,180
7,"Yes, I got your letter",180
8,"Yes, I'm doing better",180
9,It cut deep to know ya,180
10,Right to the bone,180
11,"Yes, I got your letter",180
12,"Yes, I'm doing better",180
13,I know that it's over,180
14,"I don't need your ""closure""",180
15,"Your ""closure""",180
16,Don't treat me like some situation that needs to be handled,180
17,I'm fine with my spite,180
18,And my tears,180
19,And my beers and my candles,180
20,I can feel you smoothing me over,180
21,"Yes, I got your letter",180
22,"Yes, I'm doing better",180
23,It cut deep to know ya,180
24,Right to the bone,180
25,"Yes, I got your letter",180
26,"Yes, I'm doing better",180
27,I know that it's over,180
28,"I don't need your ""closure""",180
29,"Your ""closure""",180
30,"Your ""closure""",180
31,"Your ""closure""",180
32,I know I'm just a,180
33,Wrinkle in your new life,180
34,"Staying ""friends""",180
35,Would iron it out so nice,180
36,"Guilty, guilty reaching out across the sea",180
37,That you put between you and me,180
38,But it's fake,180
39,And it's oh so unnecessary,180
40,"Yes, I got your letter",180
41,"Yes, I'm doing better",180
42,It cut deep to know ya,180
43,Right to the bone,180
44,"Yes, I got your letter",180
45,"Yes, I'm doing better",180
46,I know that it's over,180
47,"I don't need your ""closure""",180
48,"""Closure""",180
49,"Your ""closure""",180
50,"Your ""closure""",180
