line_number,lyric_text,song_id
1,"Friends break up, friends get married",182
2,"Strangers get born, strangers get buried",182
3,"Trends change, rumors fly",182
4,Through new skies,182
5,But I'm right where you left me,182
6,Matches burn after the other,182
7,Pages turn and stick to each other,182
8,Wages earned and lessons learned,182
9,But I'm right where you left me,182
10,Help,182
11,I'm still at the restaurant,182
12,Still sitting in a corner I haunt,182
13,Cross legged in the dim light,182
14,"They say, ""what a sad sight,"" I",182
15,I swear you could hear a hair pin drop,182
16,Right when I felt the moment stop,182
17,Glass shattered on the white cloth,182
18,"Everybody moved on, I",182
19,I stayed there,182
20,Dust collected on my pinned up hair,182
21,They expected me to find somewhere,182
22,Some perspective but I sat and stared,182
23,Right where you left me,182
24,You left me no,182
25,"Oh, you left me no",182
26,You left me no choice but to stay here forever,182
27,You left me,182
28,You left me no,182
29,"Oh, you left me no",182
30,You left me no choice but to stay here forever,182
31,Did you ever hear about the girl who got frozen?,182
32,Time went on for everybody else,182
33,She won't know it,182
34,She's still 23 inside her fantasy,182
35,How it was supposed to be,182
36,Did you hear about the girl who lives in delusion?,182
37,Breakups happen everyday you don't have to lose it,182
38,She's still 23 inside her fantasy,182
39,And you're sitting in front of me,182
40,At the restaurant,182
41,When I was still the one you want,182
42,Cross legged in the dim light,182
43,"Everything was just right, I",182
44,I could feel the mascara run,182
45,You told me that you met someone,182
46,Glass shattered on the white cloth,182
47,Everybody moved on,182
48,Help,182
49,I'm still at the restaurant,182
50,Still sitting in a corner I haunt,182
51,Cross legged in the dim light,182
52,"They say, ""what a sad sight,"" I",182
53,I stayed there,182
54,Dust collected on my pinned up hair,182
55,I'm sure that you got a wife out there,182
56,Kids and Christmas but I'm unaware,182
57,'Cause I'm right where,182
58,I cause no harm,182
59,Mind my business,182
60,If our love died young,182
61,I can't bear witness,182
62,And it's been so long,182
63,But if you ever think you got it wrong,182
64,I'm right where,182
65,You left me,182
66,You left me no,182
67,"Oh, you left me no",182
68,You left me no choice but to stay here forever,182
69,You left me,182
70,You left me no,182
71,"Oh, you left me no",182
72,You left me no choice but to stay here forever,182
