line_number,lyric_text,song_id
1,"When the dinner is cold and the chatter gets old, you ask for the tab",183
2,"Or that moment again, he's insisting that friends look at each other like that",183
3,When the words of a sister come back in whispers that prove she was not,183
4,"In fact what she seemed, not a twin from your dreams, she's a crook who was caught",183
5,That old familiar body ache,183
6,The snaps from the same little breaks,183
7,In your soul,183
8,You know,183
9,When it's time to go,183
10,"Twenty years at your job, then the son of the boss gets the spot that was yours",183
11,"Or trying to stay for the kids, when keeping it how it is will only break their hearts worse",183
12,That old familiar body ache,183
13,The snaps from the same little breaks,183
14,In your soul,183
15,You know,183
16,When it's time to go,183
17,Sometimes giving up is the strong thing,183
18,Sometimes to run is the brave thing,183
19,Sometimes walking out is the one thing,183
20,That will find you the right thing,183
21,Sometimes giving up is the strong thing,183
22,Sometimes to run is the brave thing,183
23,Sometimes walking out is the one thing,183
24,That will find you the right thing,183
25,"Fifteen years, fifteen million tears, begging til my knees bled",183
26,"I gave it my all, he gave me nothing at all, then wondered why I left",183
27,"Now he sits on his throne in his palace of bones, praying to his greed",183
28,"He's got my past, frozen behind glass but I've got me",183
29,That old familiar body ache,183
30,The snaps from the same little breaks,183
31,In my soul,183
32,I know,183
33,When it's time to go,183
34,Sometimes giving up is the strong thing,183
35,Sometimes to run is the brave thing,183
36,Sometimes walking out is the one thing,183
37,That will find you the right thing,183
38,Sometimes giving up is the strong thing,183
39,Sometimes to run is the brave thing,183
40,Sometimes walking out is the one thing,183
41,That will find you the right thing,183
42,That will find you the right thing,183
43,And you know,183
44,In your soul,183
45,And you know,183
46,In your soul,183
47,When it's time to go,183
48,"You know, you know, you know, you know",183
49,When it's time to go,183
50,So then you go,183
51,Then you go,183
52,You just go,183
