line_number,lyric_text,song_id
1,"I'm doing good, I'm on some new shit",150
2,"Been saying ""yes"" instead of ""no""",150
3,"I thought I saw you at the bus stop, I didn't though",150
4,I hit the ground running each night,150
5,I hit the Sunday matinée,150
6,You know the greatest films of all time were never made,150
7,"I guess you never know, never know",150
8,"And if you wanted me, you really should've showed",150
9,"And if you never bleed, you're never gonna grow",150
10,And it's alright now,150
11,"But we were something, don't you think so?",150
12,"Roaring twenties, tossing pennies in the pool",150
13,And if my wishes came true,150
14,It would've been you,150
15,"In my defense, I have none",150
16,For never leaving well enough alone,150
17,But it would've been fun,150
18,If you would've been the one,150
19,I have this dream you're doing cool shit,150
20,Having adventures on your own,150
21,You meet some woman on the Internet and take her home,150
22,"We never painted by the numbers, baby",150
23,But we were making it count,150
24,You know the greatest loves of all time are over now,150
25,"I guess you never know, never know",150
26,"And it's another day, waking up alone",150
27,"But we were something, don't you think so?",150
28,"Roaring twenties, tossing pennies in the pool",150
29,And if my wishes came true,150
30,It would've been you,150
31,"In my defense, I have none",150
32,For never leaving well enough alone,150
33,But it would've been fun,150
34,If you would've been the one,150
35,I persist and resist the temptation to ask you,150
36,If one thing had been different,150
37,Would everything be different today?,150
38,"We were something, don't you think so?",150
39,Rosé flowing with your chosen family,150
40,And it would've been sweet,150
41,If it could've been me,150
42,"In my defense, I have none",150
43,For digging up the grave another time,150
44,But it would've been fun,150
45,If you would've been the one,150
