line_number,lyric_text,song_id
1,"Vintage tee, brand new phone",151
2,High heels on cobblestones,151
3,"When you are young, they assume you know nothing",151
4,"Sequin smile, black lipstick",151
5,Sensual politics,151
6,"When you are young, they assume you know nothing",151
7,But I knew you,151
8,Dancing in your Levi's,151
9,"Drunk under a streetlight, I",151
10,I knew you,151
11,Hand under my sweatshirt,151
12,"Baby, kiss it better, I",151
13,And when I felt like I was an old cardigan under someone's bed,151
14,You put me on and said I was your favorite,151
15,A friend to all is a friend to none,151
16,"Chase two girls, lose the one",151
17,"When you are young, they assume you know nothing",151
18,But I knew you,151
19,"Playing hide-and-seek, and",151
20,"Giving me your weekends, I",151
21,I knew you,151
22,Your heartbeat on the High Line,151
23,"Once in twenty lifetimes, I",151
24,And when I felt like I was an old cardigan under someone's bed,151
25,You put me on and said I was your favorite,151
26,To kiss in cars and downtown bars,151
27,Was all we needed,151
28,You drew stars around my scars,151
29,But now I'm bleeding,151
30,'Cause I knew you,151
31,Stepping on the last train,151
32,"Marked me like a bloodstain, I",151
33,I knew you,151
34,Tried to change the ending,151
35,"Peter losing Wendy, I",151
36,I knew you,151
37,Leaving like a father,151
38,"Running like water, I",151
39,"When you are young, they assume you know nothing",151
40,But I knew you'd linger like a tattoo kiss,151
41,I knew you'd haunt all of my what-ifs,151
42,The smell of smoke would hang around this long,151
43,'Cause I knew everything when I was young,151
44,I knew I'd curse you for the longest time,151
45,Chasing shadows in the grocery line,151
46,I knew you'd miss me once the thrill expired,151
47,And you'd be standing in my front porch light,151
48,And I knew you'd come back to me,151
49,You'd come back to me,151
50,And you'd come back to me,151
51,And you'd come back,151
52,And when I felt like I was an old cardigan under someone's bed,151
53,You put me on and said I was your favorite,151
