line_number,lyric_text,song_id
1,"Rebekah rode up on the afternoon train, it was sunny",152
2,Her saltbox house on the coast took her mind off St. Louis,152
3,"Bill was the heir to the Standard Oil name, and money",152
4,"And the town said, ""How did a middle class divorcée do it?""",152
5,"The wedding was charming, if a little gauche",152
6,There's only so far new money goes,152
7,"They picked out a home and called it ""Holiday House""",152
8,"Their parties were tasteful, if a little loud",152
9,The doctor had told him to settle down,152
10,It must have been her fault his heart gave out,152
11,"And they said, ""There goes the last great American dynasty""",152
12,"Who knows, if she never showed up, what could've been",152
13,There goes the maddest woman this town has ever seen,152
14,She had a marvelous time ruining everything,152
15,Rebekah gave up on the Rhode Island set forever,152
16,Flew in all the Bitch Pack friends from the city,152
17,Filled the pool with champagne and swam with the big names,152
18,And blew through the money on the boys and the ballet,152
19,And losing on card game bets with Dalí,152
20,"And they said, ""There goes the last great American dynasty""",152
21,"Who knows, if she never showed up, what could've been",152
22,There goes the most shameless woman this town has ever seen,152
23,She had a marvelous time ruining everything,152
24,They say she was seen on occasion,152
25,"Pacing the rocks, staring out at the midnight sea",152
26,And in a feud with her neighbor,152
27,She stole his dog and dyed it key lime green,152
28,Fifty years is a long time,152
29,Holiday House sat quietly on that beach,152
30,Free of women with madness,152
31,"Their men and bad habits, and then it was bought by me",152
32,"Who knows, if I never showed up, what could've been",152
33,There goes the loudest woman this town has ever seen,152
34,I had a marvelous time ruining everything,152
35,I had a marvelous time,152
36,Ruining everything,152
37,A marvelous time,152
38,Ruining everything,152
39,A marvelous time,152
40,I had a marvelous time,152
