line_number,lyric_text,song_id
1,What did you think I'd say to that?,161
2,Does a scorpion sting when fighting back?,161
3,They strike to kill and you know I will,161
4,You know I will,161
5,What do you sing on your drive home?,161
6,Do you see my face in the neighbor's lawn?,161
7,Does she smile?,161
8,"Or does she mouth ""fuck you forever""?",161
9,Every time you call me crazy,161
10,I get more crazy,161
11,What about that?,161
12,"And when you say I seem angry, I get more angry",161
13,And there's nothing like a mad woman,161
14,What a shame she went mad,161
15,No one likes a mad woman,161
16,You made her like that,161
17,And you'll poke that bear till her claws come out,161
18,And you find something to wrap your noose around,161
19,And there's nothing like a mad woman,161
20,Now I breathe flames each time I talk,161
21,My cannons all firing at your yacht,161
22,"They say ""move on""",161
23,But you know I won't,161
24,"And women like hunting witches, too",161
25,Doing your dirtiest work for you,161
26,It's obvious that wanting me dead has really brought you two together,161
27,Every time you call me crazy,161
28,I get more crazy,161
29,What about that?,161
30,"And when you say I seem angry, I get more angry",161
31,And there's nothing like a mad woman,161
32,What a shame she went mad,161
33,No one likes a mad woman,161
34,You made her like that,161
35,And you'll poke that bear till her claws come out,161
36,And you find something to wrap your noose around,161
37,And there's nothing like a mad woman,161
38,I'm taking my time,161
39,Taking my time,161
40,'Cause you took everything from me,161
41,Watching you climb,161
42,Watching you climb,161
43,Over people like me,161
44,The master of spin,161
45,Has a couple side flings,161
46,Good wives always know,161
47,She should be mad,161
48,Should be scathing like me,161
49,But no one likes a mad woman,161
50,What a shame she went mad,161
51,You made her like that,161
