line_number,lyric_text,song_id
1,Keep your helmet,162
2,"Keep your life, son",162
3,Just a flesh wound,162
4,Here's your rifle,162
5,Crawling up the beaches now,162
6,"Sir, I think he's bleedin' out",162
7,And some things you just can't speak about,162
8,"With you, I serve",162
9,"With you, I fall down",162
10,Down,162
11,Watch you breathe in,162
12,Watch you breathin' out,162
13,Out,162
14,Something med school,162
15,Did not cover,162
16,Someone's daughter,162
17,Someone's mother,162
18,Holds your hand through plastic now,162
19,"Doc, I think she's crashin' out",162
20,And some things you just can't speak about,162
21,Only twenty minutes to sleep,162
22,But you dream of some epiphany,162
23,Just one single glimpse of relief,162
24,To make some sense of what you've seen,162
25,"With you, I serve",162
26,"With you, I fall down",162
27,Down,162
28,Down,162
29,Watch you breathe in,162
30,Watch you breathin' out,162
31,Out,162
32,"With you, I serve",162
33,"With you, I fall down",162
34,Down,162
35,Down,162
36,Down,162
37,Watch you breathe in,162
38,Watch you breathin' out,162
39,Out,162
40,Out,162
41,Only twenty minutes to sleep,162
42,But you dream of some epiphany,162
43,Just one single glimpse of relief,162
44,To make some sense of what you've seen,162
