line_number,lyric_text,song_id
1,"Betty, I won't make assumptions about why you switched your homeroom",163
2,But I think it's 'cause of me,163
3,"Betty, one time I was riding on my skateboard when I passed your house",163
4,It's like I couldn't breathe,163
5,You heard the rumors from Inez,163
6,You can't believe a word she says,163
7,"Most times, but this time it was true",163
8,The worst thing that I ever did,163
9,Was what I did to you,163
10,But if I just showed up at your party,163
11,Would you have me?,163
12,Would you want me?,163
13,Would you tell me to go fuck myself,163
14,Or lead me to the garden?,163
15,In the garden would you trust me,163
16,If I told you it was just a summer thing?,163
17,I'm only seventeen,163
18,"I don't know anything, but I know I miss you",163
19,"Betty, I know where it all went wrong, your favorite song was playing from the far side of the gym",163
20,"I was nowhere to be found, I hate the crowds, you know that",163
21,"Plus, I saw you dance with him",163
22,You heard the rumors from Inez,163
23,You can't believe a word she says,163
24,"Most times, but this time it was true",163
25,The worst thing that I ever did,163
26,Was what I did to you,163
27,But if I just showed up at your party,163
28,Would you have me?,163
29,Would you want me?,163
30,Would you tell me to go fuck myself,163
31,Or lead me to the garden?,163
32,In the garden would you trust me,163
33,If I told you it was just a summer thing?,163
34,I'm only seventeen,163
35,"I don't know anything, but I know I miss you",163
36,I was walking home on broken cobblestones,163
37,Just thinking of you when she pulled up,163
38,Like a figment of my worst intentions,163
39,"She said, ""James, get in, let's drive""",163
40,Those days turned into nights,163
41,"Slept next to her, but",163
42,I dreamt of you all summer long,163
43,"Betty, I'm here on your doorstep",163
44,"And I planned it out for weeks now, but it's finally sinking in",163
45,"Betty, right now is the last time I can dream about what happens when you see my face again",163
46,The only thing I wanna do,163
47,Is make it up to you,163
48,"So, I showed up at your party",163
49,"Yeah, I showed up at your party",163
50,"Yeah, I showed up at your party",163
51,Will you have me?,163
52,Will you love me?,163
53,Will you kiss me on the porch in front of all your stupid friends?,163
54,If you kiss me,163
55,Will it be just like I dreamed it? Will it patch your broken wings?,163
56,I'm only seventeen,163
57,I don't know anything,163
58,But I know I miss you,163
59,Standing in your cardigan,163
60,Kissing in my car again,163
61,"Stopped at a streetlight, you know I miss you",163
