line_number,lyric_text,song_id
1,Our coming of age has come and gone,164
2,"Suddenly, this summer, it's clear",164
3,I never had the courage of my convictions,164
4,As long as danger is near,164
5,"And it's just around the corner, darling",164
6,'Cause it lives in me,164
7,"No, I could never give you peace",164
8,"But I'm a fire, and I'll keep your brittle heart warm",164
9,"If your cascade, ocean wave blues come",164
10,All these people think love's for show,164
11,But I would die for you in secret,164
12,The devil's in the details,164
13,But you got a friend in me,164
14,Would it be enough,164
15,If I could never give you peace?,164
16,Your integrity makes me seem small,164
17,You paint dreamscapes on the wall,164
18,I talk shit with my friends,164
19,It's like I'm wasting your honor,164
20,And you know that I'd,164
21,Swing with you for the fences,164
22,Sit with you in the trenches,164
23,Give you my wild,164
24,Give you a child,164
25,Give you the silence that only comes when two people understand each other,164
26,"Family that I chose, now that I see your brother as my brother",164
27,Is it enough?,164
28,But there's robbers to the East,164
29,Clowns to the West,164
30,I'd give you my sunshine,164
31,Give you my best,164
32,But the rain is always gonna come,164
33,If you're standing with me,164
34,"But I'm a fire, and I'll keep your brittle heart warm",164
35,"If your cascade, ocean wave blues come",164
36,All these people think love's for show,164
37,But I would die for you in secret,164
38,The devil's in the details,164
39,But you got a friend in me,164
40,Would it be enough,164
41,If I could never give you peace?,164
42,Would it be enough,164
43,If I could never give you peace?,164
44,Would it be enough,164
45,If I could never give you peace?,164
