line_number,lyric_text,song_id
1,Knew he was a killer first time that I saw him,117
2,Wonder how many girls he had loved and left haunted,117
3,"But if he's a ghost, then I can be a phantom",117
4,"Holdin' him for ransom, some",117
5,"Some boys are tryin' too hard, he don't try at all though",117
6,"Younger than my exes, but he act like such a man, so",117
7,"I see nothing better, I keep him forever",117
8,Like a vendetta-ta,117
9,"I, I, I see how this is gon' go",117
10,Touch me and you'll never be alone,117
11,I-Island breeze and lights down low,117
12,No one has to know,117
13,"In the middle of the night, in my dreams",117
14,"You should see the things we do, baby, mmm",117
15,"In the middle of the night, in my dreams",117
16,"I know I'm gonna be with you, so I'll take my time",117
17,Are you ready for it?,117
18,Knew I was a robber first time that he saw me,117
19,"Stealin' hearts and runnin' off, and never sayin' sorry",117
20,"But if I'm a thief, then he can join the heist, and",117
21,"We'll move to an island, and",117
22,"And he can be my jailer, Burton to this Taylor",117
23,Every love I've known in comparison is a failure,117
24,"I forget their names now, I'm so very tame now",117
25,"Never be the same now, now",117
26,"I, I, I see how this is gon' go (Go)",117
27,Touch me and you'll never be alone,117
28,I-Island breeze and lights down low (Low),117
29,No one has to know (No one has to know),117
30,"In the middle of the night, in my dreams (Yeah)",117
31,"You should see the things we do, baby, mmm (We do)",117
32,"In the middle of the night, in my dreams (My dreams)",117
33,"I know I'm gonna be with you, so I'll take my time",117
34,Are you ready for it?,117
35,Oh,117
36,Are you ready for it?,117
37,"Baby, let the games begin",117
38,Let the games begin,117
39,Let the games begin,117
40,"Baby, let the games begin",117
41,Let the games begin,117
42,Let the games begin,117
43,"I, I, I see how this is gon' go",117
44,Touch me and you'll never be alone,117
45,I-Island breeze and lights down low,117
46,No one has to know,117
47,"In the middle of the night, in my dreams (My dreams)",117
48,"You should see the things we do, baby, mmm (We do, baby)",117
49,"In the middle of the night, in my dreams (My dreams)",117
50,"I know I'm gonna be with you, so I'll take my time",117
51,In the middle of the night,117
52,"Baby, let the games begin",117
53,Let the games begin,117
54,Let the games begin,117
55,Are you ready for it?,117
56,"Baby, let the games begin",117
57,Let the games begin,117
58,Let the games begin,117
59,Are you ready for it?,117
