line_number,lyric_text,song_id
1,I wanna be your endgame,118
2,I wanna be your first string,118
3,I wanna be your A-Team,118
4,"I wanna be your endgame, endgame",118
5,"Big reputation, big reputation",118
6,"Ooh, you and me, we got big reputations, ah",118
7,"And you heard about me, ooh",118
8,I got some big enemies,118
9,"Big reputation, big reputation",118
10,"Ooh, you and me would be a big conversation, ah",118
11,"And I heard about you, ooh",118
12,You like the bad ones too,118
13,"You so dope, don't overdose",118
14,"I'm so stoked, I need a toast",118
15,We do the most,118
16,I'm in the Ghost like I'm whippin' a boat,118
17,"I got a reputation, girl, that don't precede me",118
18,I'm one call away whenever you need me,118
19,I'm in a G5,118
20,Come to the A-Side,118
21,"I got a bad-boy persona, that's what they like",118
22,You love it,118
23,I love it too 'cause you my type,118
24,You hold me down and I protect you with my life,118
25,"I don't wanna touch you, I don't wanna be",118
26,Just another ex-love you don't wanna see,118
27,I don't wanna miss you (I don't wanna miss you),118
28,Like the other girls do,118
29,"I don't wanna hurt you, I just wanna be",118
30,Drinking on a beach with you all over me,118
31,I know what they all say (I know what they all say),118
32,But I ain't tryna play,118
33,I wanna be your endgame,118
34,I wanna be your first string,118
35,I wanna be your A-Team,118
36,"I wanna be your endgame, endgame",118
37,Knew her when I was young,118
38,"Reconnected when we were a little bit older, both sprung",118
39,I got issues and chips on both of my shoulders,118
40,"Reputation precedes me, in rumors I'm knee-deep",118
41,"The truth is it's easier to ignore it, believe me",118
42,"Even when we'd argue, we'd not do it for long",118
43,And you understand the good and bad end up in the songs,118
44,For all your beautiful traits and the way you do it with ease,118
45,"For all my flaws, paranoia, and insecurities",118
46,"I've made mistakes and made some choices, that's hard to deny",118
47,"After the storm, something was born on the 4th of July",118
48,I've passed days without fun,118
49,This endgame is the one,118
50,With four words on the tip of my tongue,118
51,I'll never say it,118
52,"I don't wanna touch you, I don't wanna be",118
53,Just another ex-love you don't wanna see,118
54,I don't wanna miss you,118
55,Like the other girls do,118
56,"I don't wanna hurt you, I just wanna be",118
57,Drinking on a beach with you all over me,118
58,I know what they all say,118
59,Yeah,118
60,But I ain't tryna play,118
61,I wanna be your endgame,118
62,I wanna be your first string,118
63,I wanna be your A-Team,118
64,"I wanna be your endgame, endgame",118
65,"Big reputation, big reputation",118
66,"Ooh, you and me, we got big reputations, ah",118
67,"And you heard about me, ooh",118
68,I got some big enemies (Hey),118
69,"Big reputation, big reputation",118
70,"Ooh, you and me would be a big conversation, ah",118
71,"And I heard about you, ooh",118
72,You like the bad ones too,118
73,I hit you like bang,118
74,"We tried to forget it, but we just couldn't",118
75,"And I bury hatchets, but I keep maps of where I put 'em",118
76,Reputation precedes me,118
77,They told you I'm crazy,118
78,"I swear I don't love the drama, it loves me",118
79,And I can't let you go,118
80,Your handprints on my soul,118
81,"It's like your eyes are liquor, it's like your body is gold",118
82,You've been calling my bluff on all my usual tricks,118
83,So here's the truth from my red lips,118
84,I wanna be your endgame,118
85,"I wanna be your first string (Me and you, hey)",118
86,I wanna be your A-Team (Be your A-Team now),118
87,"I wanna be your endgame, endgame",118
88,Wanna be your endgame,118
89,I wanna be your first string,118
90,I wanna be your A-Team,118
91,"I wanna be your endgame, endgame",118
