line_number,lyric_text,song_id
1,I never trust a narcissist,119
2,But they love me,119
3,So I play 'em like a violin,119
4,"And I make it look, oh, so easy",119
5,'Cause for every lie I tell them,119
6,They tell me three,119
7,This is how the world works,119
8,Now all he thinks about is me,119
9,I can feel the flames on my skin,119
10,Crimson red paint on my lips,119
11,"If a man talks shit, then I owe him nothing",119
12,"I don't regret it one bit, 'cause he had it coming",119
13,They say I did something bad,119
14,Then why's it feel so good?,119
15,They say I did something bad,119
16,Then why's it feel so good?,119
17,Most fun I ever had,119
18,"And I'd do it over, and over, and over again, if I could",119
19,"It just felt so good, good",119
20,I never trust a playboy,119
21,But they love me,119
22,So I fly 'em all around the world,119
23,And I let them think they saved me,119
24,They never see it coming,119
25,What I do next,119
26,This is how the world works,119
27,You gotta leave before you get left,119
28,I can feel the flames on my skin,119
29,"He says, ""Don't throw away a good thing""",119
30,"But if he drops my name, then I owe him nothing",119
31,"And if he spends my change, then he had it coming",119
32,They say I did something bad,119
33,Then why's it feel so good?,119
34,They say I did something bad,119
35,Then why's it feel so good?,119
36,Most fun I ever had,119
37,"And I'd do it over, and over, and over again, if I could",119
38,"It just felt so good, good",119
39,It just felt so good,119
40,"They're burning all the witches, even if you aren't one",119
41,"They got their pitchforks and proof, their receipts and reasons",119
42,"They're burning all the witches, even if you aren't one",119
43,So light me up (Light me up),119
44,Light me up (Light me up),119
45,"Light me up, go ahead and light me up (Light me up)",119
46,Light me up (Light me up),119
47,Light me up (Light me up),119
48,Light me up (Light me up),119
49,Light me up,119
50,They say I did something bad,119
51,Then why's it feel so good?,119
52,So good,119
53,They say I did something bad,119
54,Then why's it feel so good?,119
55,Most fun I ever had,119
56,Most fun I ever had,119
57,"And I'd do it over, and over, and over again, if I could",119
58,"It just felt so good, good",119
59,"Oh, you say I did something bad",119
60,You say I did something bad,119
61,"Then why's it feel so good, good?",119
62,"So bad, why's it feel so good?",119
63,"Why's it feel, why's it feel so good?",119
64,Bad,119
65,"It just felt so good, good",119
