line_number,lyric_text,song_id
1,"Don't blame me, love made me crazy",120
2,"If it doesn't, you ain't doin' it right",120
3,"Lord, save me, my drug is my baby",120
4,I'll be usin' for the rest of my life,120
5,I've been breakin' hearts a long time,120
6,And toyin' with them older guys,120
7,Just playthings for me to use,120
8,Something happened for the first time,120
9,In the darkest little paradise,120
10,"Shakin', pacin', I just need you",120
11,"For you, I would cross the line",120
12,I would waste my time,120
13,I would lose my mind,120
14,"They say, ""She's gone too far this time""",120
15,"Don't blame me, love made me crazy",120
16,"If it doesn't, you ain't doin' it right",120
17,"Lord, save me, my drug is my baby",120
18,I'll be usin' for the rest of my life,120
19,"Don't blame me, love made me crazy",120
20,"If it doesn't, you ain't doin' it right",120
21,"Oh, Lord, save me, my drug is my baby",120
22,I'll be usin' for the rest of my life,120
23,My name is whatever you decide,120
24,And I'm just gonna call you mine,120
25,"I'm insane, but I'm your baby (Your baby)",120
26,Echoes of your name inside my mind (Echoes),120
27,Halo hiding my obsession,120
28,"I once was poison ivy, but now I'm your daisy",120
29,"And baby, for you, I would fall from grace",120
30,Just to touch your face,120
31,"If you walk away, I'd beg you on my knees to stay",120
32,"Don't blame me, love made me crazy",120
33,"If it doesn't, you ain't doin' it right",120
34,"Lord, save me, my drug is my baby",120
35,I'll be usin' for the rest of my life,120
36,"Don't blame me, love made me crazy",120
37,"If it doesn't, you ain't doin' it right",120
38,"Oh, Lord, save me, my drug is my baby",120
39,I'll be usin' for the rest of my life,120
40,"I get so high, oh!",120
41,"Every time you're, every time you're lovin' me",120
42,You're lovin' me,120
43,"Trip of my life, oh!",120
44,"Every time you're, every time you're touchin' me",120
45,You're touchin' me,120
46,"Every time you're, every time you're lovin' me",120
47,"Oh, Lord, save me",120
48,My drug is my baby,120
49,I'll be usin' for the rest of my life (Usin' for the rest of my life),120
50,Oh-whoah-oh-oh,120
51,"Don't blame me, love made me crazy",120
52,"If it doesn't, you ain't doin' it right (Doin' it right, no)",120
53,"Lord, save me, my drug is my baby",120
54,"I'll be usin' for the rest of my life, oh-oh",120
55,"Don't blame me, love made me crazy (Oh-oh-oh)",120
56,"If it doesn't, you ain't doin' it right (You ain't doin' it right)",120
57,"Oh, Lord, save me, my drug is my baby",120
58,"I'll be usin' for the rest of my life (I'll be usin', I'll be usin')",120
59,"I get so high, oh!",120
60,"Every time you're, every time you're lovin' me",120
61,You're lovin' me,120
62,"Oh, Lord, save me, my drug is my baby",120
63,I'll be usin' for the rest of my life,120
