line_number,lyric_text,song_id
1,This ain't for the best,121
2,"My reputation's never been worse, so",121
3,You must like me for me,121
4,We can't make,121
5,"Any promises now, can we, babe?",121
6,But you can make me a drink,121
7,"Dive bar on the East Side, where you at?",121
8,Phone lights up my nightstand in the black,121
9,"Come here, you can meet me in the back",121
10,"Dark jeans and your Nikes, look at you",121
11,"Oh damn, never seen that color blue",121
12,Just think of the fun things we could do,121
13,'Cause I like you,121
14,This ain't for the best,121
15,"My reputation's never been worse, so",121
16,You must like me for me,121
17,"Yeah, I want you",121
18,We can't make,121
19,"Any promises now, can we, babe?",121
20,But you can make me a drink,121
21,Is it cool that I said all that?,121
22,Is it chill that you're in my head?,121
23,'Cause I know that it's delicate,121
24,Is it cool that I said all that?,121
25,Is it too soon to do this yet?,121
26,'Cause I know that it's delicate,121
27,Isn't it? Isn't it? Isn't it?,121
28,Isn't it?,121
29,Isn't it? Isn't it? Isn't it?,121
30,Isn't it delicate?,121
31,"Third floor on the West Side, me and you",121
32,"Handsome, you're a mansion with a view",121
33,Do the girls back home touch you like I do?,121
34,"Long night, with your hands up in my hair",121
35,Echoes of your footsteps on the stairs,121
36,"Stay here, honey, I don't wanna share",121
37,'Cause I like you,121
38,This ain't for the best,121
39,"My reputation's never been worse, so",121
40,You must like me for me,121
41,"Yeah, I want you",121
42,We can't make,121
43,"Any promises now, can we, babe?",121
44,But you can make me a drink,121
45,Is it cool that I said all that?,121
46,Is it chill that you're in my head?,121
47,'Cause I know that it's delicate,121
48,Is it cool that I said all that?,121
49,Is it too soon to do this yet?,121
50,'Cause I know that it's delicate,121
51,Isn't it? Isn't it? Isn't it?,121
52,Isn't it?,121
53,Isn't it? Isn't it? Isn't it?,121
54,Isn't it delicate?,121
55,Sometimes I wonder when you sleep,121
56,Are you ever dreaming of me?,121
57,Sometimes when I look into your eyes,121
58,"I pretend you're mine, all the damn time",121
59,'Cause I like you,121
60,Is it cool that I said all that?,121
61,Is it chill that you're in my head?,121
62,'Cause I know that it's delicate,121
63,"Yeah, I want you",121
64,Is it cool that I said all that?,121
65,Is it too soon to do this yet?,121
66,'Cause I know that it's delicate,121
67,'Cause I like you,121
68,Is it cool that I said all that? (Isn't it?),121
69,Is it chill that you're in my head? (Isn't it? Isn't it?),121
70,'Cause I know that it's delicate (Isn't it delicate?),121
71,"Yeah, I want you",121
72,Is it cool that I said all that? (Isn't it?),121
73,Is it too soon to do this yet? (Isn't it? Isn't it?),121
74,'Cause I know that it's delicate (Isn't it?),121
75,Delicate,121
