line_number,lyric_text,song_id
1,I don't like your little games,122
2,Don't like your tilted stage,122
3,The role you made me play,122
4,Of the fool,122
5,"No, I don't like you",122
6,I don't like your perfect crime,122
7,How you laugh when you lie,122
8,You said the gun was mine,122
9,Isn't cool,122
10,"No, I don't like you",122
11,"But I got smarter, I got harder in the nick of time",122
12,"Honey, I rose up from the dead, I do it all the time",122
13,I've got a list of names and yours is in red underlined,122
14,"I check it once, then I check it twice, oh!",122
15,"Ooh, look what you made me do",122
16,Look what you made me do,122
17,Look what you just made me do,122
18,Look what you just made me,122
19,"Ooh, look what you made me do",122
20,Look what you made me do,122
21,Look what you just made me do,122
22,Look what you just made me do,122
23,I don't like your kingdom keys,122
24,They once belonged to me,122
25,You ask me for a place to sleep,122
26,Locked me out and threw a feast (What?),122
27,"The world moves on, another day, another drama, drama",122
28,"But not for me, not for me, all I think about is karma",122
29,"And then the world moves on, but one thing's for sure",122
30,"Maybe I got mine, but you'll all get yours",122
31,"But I got smarter, I got harder in the nick of time (Nick of time)",122
32,"Honey, I rose up from the dead, I do it all the time (I do it all the time)",122
33,I've got a list of names and yours is in red underlined,122
34,"I check it once, then I check it twice, oh!",122
35,"Ooh, look what you made me do",122
36,Look what you made me do,122
37,Look what you just made me do,122
38,Look what you just made me,122
39,"Ooh, look what you made me do",122
40,Look what you made me do,122
41,Look what you just made me do,122
42,Look what you just made me do,122
43,"I don't trust nobody, and nobody trusts me",122
44,I'll be the actress starring in your bad dreams,122
45,"I don't trust nobody, and nobody trusts me, yeah",122
46,I'll be the actress starring in your bad dreams,122
47,"I don't trust nobody, and nobody trusts me",122
48,I'll be the actress starring in your bad dreams,122
49,"I don't trust nobody, and nobody trusts me",122
50,I'll be the actress starring in your bad dreams,122
51,"Ooh, look what you made me do",122
52,Look what you made me do,122
53,Look what you just made me do,122
54,"I'm sorry, the old Taylor can't come to the phone right now",122
55,Why? Oh!,122
56,'Cause she's dead! Oh!,122
57,"Ooh, look what you made me do",122
58,Look what you made me do,122
59,Look what you just made me do,122
60,Look what you just made me,122
61,"Ooh, look what you made me do",122
62,Look what you made me do,122
63,Look what you just made me do,122
64,Look what you just made me do,122
65,"Ooh, look what you made me do",122
66,Look what you made me do,122
67,Look what you just made me do,122
68,Look what you just made me,122
69,"Ooh, look what you made me do",122
70,Look what you made me do,122
71,Look what you just made me do,122
72,Look what you just made me do,122
