line_number,lyric_text,song_id
1,See you in the dark,123
2,"All eyes on you, my magician",123
3,All eyes on us,123
4,You make everyone disappear and,123
5,Cut me into pieces,123
6,"Gold cage, hostage to my feelings",123
7,Back against the wall,123
8,"Trippin', trip-trippin' when you're gone",123
9,'Cause we break down a little,123
10,"But when you get me alone, it's so simple",123
11,"'Cause, baby, I know what you know",123
12,We can feel it,123
13,And all the pieces fall right into place,123
14,"Getting caught up in a moment, lipstick on your face",123
15,So it goes,123
16,I'm yours to keep and I'm yours to lose,123
17,"You know I'm not a bad girl, but I do bad things with you",123
18,So it goes,123
19,Met you in a bar,123
20,"All eyes on me, your illusionist",123
21,All eyes on us,123
22,I make all your grey days clear and,123
23,Wear you like a necklace,123
24,"I'm so chill, but you make me jealous",123
25,But I got your heart,123
26,"Skippin', skip-skippin' when I'm gone",123
27,'Cause we break down a little,123
28,"But when I get you alone, it's so simple",123
29,"'Cause, baby, I know what you know",123
30,We can feel it,123
31,And all the pieces fall right into place,123
32,"Getting caught up in a moment, lipstick on your face",123
33,So it goes,123
34,I'm yours to keep and I'm yours to lose,123
35,"You know I'm not a bad girl, but I do bad things with you",123
36,So it goes,123
37,"Come here, dressed in black now",123
38,"So, so, so it goes",123
39,Scratches down your back now,123
40,"So, so, so it goes",123
41,You did a number on me,123
42,"But, honestly, baby, who's counting?",123
43,I did a number on you,123
44,"But, honestly, baby, who's counting?",123
45,You did a number on me,123
46,"But, honestly, baby, who's counting?",123
47,Who's counting?,123
48,"One, two, three",123
49,And all the pieces fall right into place (Pieces fall),123
50,"Getting caught up in a moment, lipstick on your face (Caught up, caught up)",123
51,So it goes,123
52,"I'm yours to keep and I'm yours to lose (Oh, baby)",123
53,"You know I'm not a bad girl, but I do bad things with you",123
54,So it goes,123
55,"Come here, dressed in black now",123
56,"So, so, so it goes",123
57,Scratches down your back now,123
58,"So, so, so it goes",123
59,"Come here, dressed in black now",123
60,"So, so, so it goes",123
61,Scratches down your back now,123
62,"So, so, so it goes",123
