line_number,lyric_text,song_id
1,Gorgeous,124
2,You should take it as a compliment,124
3,That I got drunk and made fun of the way you talk,124
4,You should think about the consequence,124
5,Of your magnetic field being a little too strong,124
6,"And I got a boyfriend, he's older than us",124
7,He's in the club doin' I don't know what,124
8,"You're so cool, it makes me hate you so much (I hate you so much)",124
9,"Whisky on ice, Sunset and Vine",124
10,You've ruined my life by not being mine,124
11,You're so gorgeous,124
12,I can't say anything to your face,124
13,'Cause look at your face,124
14,And I'm so furious,124
15,At you for making me feel this way,124
16,But what can I say?,124
17,You're gorgeous,124
18,You should take it as a compliment,124
19,"That I'm talking to everyone here but you (But you, but you)",124
20,And you should think about the consequence,124
21,"Of you touching my hand in a darkened room (Dark room, dark room)",124
22,"If you've got a girlfriend, I'm jealous of her",124
23,"But if you're single, that's honestly worse",124
24,"'Cause you're so gorgeous, it actually hurts (Honey, it hurts)",124
25,"Ocean blue eyes, lookin' in mine",124
26,I feel like I might sink and drown and die,124
27,You're so gorgeous,124
28,I can't say anything to your face (To your face),124
29,'Cause look at your face (Look at your face),124
30,And I'm so furious,124
31,At you for making me feel this way (Feel this way),124
32,But what can I say?,124
33,You're gorgeous,124
34,"You make me so happy, it turns back to sad (Yeah)",124
35,There's nothing I hate more than what I can't have (And),124
36,"You are so gorgeous, it makes me so mad (Mm)",124
37,"You make me so happy, it turns back to sad (Yeah)",124
38,There's nothing I hate more than what I can't have (And),124
39,Guess I'll just stumble on home to my cats (Ugh),124
40,Alone,124
41,Unless you wanna come along?,124
42,You're so gorgeous,124
43,I can't say anything to your face (To your face),124
44,'Cause look at your face (Look at your face),124
45,And I'm so furious (I'm so furious),124
46,At you for making me feel this way (Feel this way),124
47,But what can I say? (I say),124
48,You're gorgeous,124
49,"You make me so happy, it turns back to sad (Yeah)",124
50,There's nothing I hate more than what I can't have (And),124
51,"You are so gorgeous, it makes me so mad (Mm)",124
52,You're gorgeous,124
53,"You make me so happy, it turns back to sad (Turns back to sad)",124
54,There's nothing I hate more than what I can't have (What I can't have),124
55,"You are so gorgeous, it makes me so mad (Mm)",124
56,You're gorgeous,124
