line_number,lyric_text,song_id
1,"No, nothing good starts in a getaway car",125
2,"It was the best of times, the worst of crimes",125
3,I struck a match and blew your mind,125
4,But I didn't mean it,125
5,And you didn't see it,125
6,"The ties were black, the lies were white",125
7,In shades of gray in candlelight,125
8,I wanted to leave him,125
9,I needed a reason,125
10,"""X"" marks the spot where we fell apart",125
11,"He poisoned the well, I was lyin' to myself",125
12,"I knew it from the first Old Fashioned, we were cursed",125
13,We never had a shotgun shot in the dark,125
14,You were drivin' the getaway car,125
15,"We were flyin', but we'd never get far",125
16,Don't pretend it's such a mystery,125
17,Think about the place where you first met me,125
18,Ridin' in a getaway car,125
19,There were sirens in the beat of your heart,125
20,I shoulda known I'd be the first to leave,125
21,Think about the place where you first met me,125
22,"In a getaway car, oh-oh",125
23,"No, they never get far, oh-ah",125
24,"No, nothing good starts in a getaway car",125
25,"It was the great escape, the prison break",125
26,The light of freedom on my face,125
27,But you weren't thinkin',125
28,And I was just drinkin',125
29,"Well, he was runnin' after us, I was screamin', ""Go, go, go!""",125
30,"But with three of us, honey, it's a sideshow",125
31,And a circus ain't a love story,125
32,And now we're both sorry (We're both sorry),125
33,"""X"" marks the spot where we fell apart",125
34,"He poisoned the well, every man for himself",125
35,"I knew it from the first Old Fashioned, we were cursed",125
36,It hit you like a shotgun shot to the heart,125
37,You were drivin' the getaway car,125
38,"We were flyin', but we'd never get far",125
39,Don't pretend it's such a mystery,125
40,Think about the place where you first met me,125
41,Ridin' in a getaway car,125
42,There were sirens in the beat of your heart,125
43,I shoulda known I'd be the first to leave,125
44,Think about the place where you first met me,125
45,"In a getaway car, oh-oh",125
46,"No, they never get far, oh-ah",125
47,"No, nothing good starts in a getaway car",125
48,We were jet-set Bonnie and Clyde (Oh),125
49,Until I switched to the other side,125
50,To the other side,125
51,It's no surprise I turned you in (Oh),125
52,'Cause us traitors never win,125
53,I'm in a getaway car,125
54,I left you in a motel bar,125
55,Put the money in a bag and I stole the keys,125
56,That was the last time you ever saw me,125
57,Drivin' the getaway car,125
58,"We were flyin', but we never get far (Don't pretend)",125
59,Don't pretend it's such a mystery,125
60,Think about the place where you first met me,125
61,Ridin' in a getaway car,125
62,There were sirens in the beat of your heart (Shoulda known),125
63,I shoulda known I'd be the first to leave,125
64,Think about the place where you first met me,125
65,"In a getaway car, oh-oh",125
66,"No, they never get far, oh-ah",125
67,"No, nothing good starts in a getaway car",125
68,I was ridin' in a getaway car,125
69,I was cryin' in a getaway car,125
70,I was dyin' in a getaway car,125
71,Said goodbye in a getaway car,125
72,Ridin' in a getaway car,125
73,I was cryin' in a getaway car,125
74,I was dyin' in a getaway car,125
75,Said goodbye in a getaway car,125
