line_number,lyric_text,song_id
1,"I'm perfectly fine, I live on my own",126
2,"I made up my mind, I'm better off being alone",126
3,We met a few weeks ago,126
4,"Now you try on calling me ""baby"" like trying on clothes",126
5,"Salute to me, I'm your American Queen",126
6,And you move to me like I'm a Motown beat,126
7,And we rule the kingdom inside my room,126
8,'Cause all the boys in their expensive cars,126
9,With their Range Rovers and their Jaguars,126
10,Never took me quite where you do,126
11,"And all at once, you are the one I have been waiting for",126
12,"King of my heart, body and soul, ooh-whoa",126
13,"And all at once, you're all I want, I'll never let you go",126
14,"King of my heart, body and soul, ooh-whoa",126
15,"And all at once, I've been waiting, waiting",126
16,"Ooh-whoa, ooh-whoa",126
17,"And all at once, you are the one, I have been waiting, waiting",126
18,"Body and soul, ooh-whoa",126
19,And all at once,126
20,"Late in the night, the city's asleep",126
21,"Your love is a secret I'm hoping, dreaming, dying to keep",126
22,Change my priorities,126
23,The taste of your lips is my idea of luxury,126
24,"Salute to me, I'm your American Queen",126
25,And you move to me like I'm a Motown beat,126
26,"And we rule the kingdom inside my room (Inside my room, oh)",126
27,'Cause all the boys in their expensive cars,126
28,With their Range Rovers and their Jaguars,126
29,Never took me quite where you do (Where you do),126
30,"And all at once, you are the one I have been waiting for",126
31,"King of my heart, body and soul, ooh-whoa",126
32,"And all at once, you're all I want, I'll never let you go",126
33,"King of my heart, body and soul, ooh-whoa",126
34,"And all at once I've been waiting, waiting (Huh)",126
35,"Waiting (Ooh-whoa, ooh-whoa)",126
36,"And all at once, you are the one, I have been waiting",126
37,"Waiting, waiting (Waiting)",126
38,"Body and soul, ooh-whoa",126
39,And all at once,126
40,Is this the end of all the endings?,126
41,My broken bones are mending,126
42,With all these nights we're spending,126
43,Up on the roof with a school girl crush,126
44,Drinking beer out of plastic cups,126
45,"Say you fancy me, not fancy stuff",126
46,"Baby, all at once, this is enough",126
47,"And all at once, you are the one I have been waiting for",126
48,"King of my heart, body and soul, ooh-whoa",126
49,"And all at once, you are the one I have been waiting for",126
50,"King of my heart, body and soul, ooh-whoa",126
51,"And all at once, you're all I want, I'll never let you go",126
52,King of my heart (My heart),126
53,"Body and soul, ooh-whoa (My soul)",126
54,"And all at once, I've been waiting, waiting",126
55,"Ooh-whoa, ooh-whoa",126
56,"And all at once, you are the one I have been waiting, waiting",126
57,"Body and soul, ooh-whoa",126
58,And all at once,126
