line_number,lyric_text,song_id
1,"I, I loved you in secret",127
2,"First sight, yeah, we love without reason",127
3,"Oh, twenty-five years old",127
4,"Oh, how were you to know?",127
5,"And my, my love had been frozen",127
6,"Deep blue, but you painted me golden",127
7,"Oh, and you held me close",127
8,"Oh, how was I to know?",127
9,I could've spent forever with your hands in my pockets,127
10,Picture of your face in an invisible locket,127
11,You said there was nothing in the world that could stop it,127
12,I had a bad feeling,127
13,"And darling, you had turned my bed into a sacred oasis",127
14,"People started talking, putting us through our paces",127
15,I knew there was no one in the world who could take it,127
16,I had a bad feeling,127
17,But we were dancing,127
18,"Dancing with our hands tied, hands tied",127
19,"Yeah, we were dancing",127
20,"Like it was the first time, first time",127
21,"Yeah, we were dancing",127
22,"Dancing with our hands tied, hands tied",127
23,"Yeah, we were dancing",127
24,And I had a bad feeling,127
25,But we were dancing,127
26,"I, I loved you in spite of",127
27,Deep fears that the world would divide us,127
28,"So, baby, can we dance?",127
29,"Oh, through an avalanche?",127
30,"And say, say that we got it",127
31,"I'm a mess, but I'm the mess that you wanted",127
32,"Oh, 'cause it's gravity",127
33,"Oh, keeping you with me",127
34,I could've spent forever with your hands in my pockets,127
35,Picture of your face in an invisible locket,127
36,You said there was nothing in the world that could stop it,127
37,I had a bad feeling,127
38,But we were dancing,127
39,"Dancing with our hands tied, hands tied",127
40,"Yeah, we were dancing",127
41,"Like it was the first time, first time",127
42,"Yeah, we were dancing",127
43,"Dancing with our hands tied, hands tied",127
44,"Yeah, we were dancing",127
45,(Knew we had our hands tied),127
46,And I had a bad feeling,127
47,But we were dancing,127
48,I'd kiss you as the lights went out,127
49,Swaying as the room burned down,127
50,I'd hold you as the water rushes in,127
51,If I could dance with you again,127
52,I'd kiss you as the lights went out,127
53,Swaying as the room burned down,127
54,I'd hold you as the water rushes in,127
55,If I could dance with you again,127
56,"Dancing with our hands tied, hands tied",127
57,"Yeah, we were dancing",127
58,"Like it was the first time, first time",127
59,"Yeah, we were dancing",127
60,"Dancing with our hands tied, hands tied",127
61,(Dancing with our hands tied),127
62,"Yeah, we were dancing",127
63,And I had a bad feeling,127
64,But we were dancing,127
65,"Hands tied, hands tied",127
