id,name,album_id,song_number,explicit
1,Tim McGraw,1,1,0
2,Picture to Burn,1,2,0
3,Teardrops On My Guitar (Radio Single Remix),1,3,0
4,A Place In This World,1,4,0
5,Cold As You,1,5,0
6,The Outside,1,6,0
7,Tied Together With a Smile,1,7,0
8,Stay Beautiful,1,8,0
9,Should've Said No,1,9,0
10,Mary's Song (Oh My My My),1,10,0
11,Our Song,1,11,0
12,I'm Only Me When I'm With You,1,12,0
13,Invisible,1,13,0
14,A Perfectly Good Heart,1,14,0
15,Teardrops On My Guitar (Pop Version),1,15,0
16,Fearless (Taylor’s Version),2,1,0
17,Fifteen (Taylor’s Version),2,2,0
18,Love Story (Taylor’s Version),2,3,0
19,Hey Stephen (Taylor’s Version),2,4,0
20,White Horse (Taylor’s Version),2,5,0
21,You Belong With Me (Taylor’s Version),2,6,0
22,Breathe (Taylor’s Version) [feat. Colbie Caillat],2,7,0
23,Tell Me Why (Taylor’s Version),2,8,0
24,You’re Not Sorry (Taylor’s Version),2,9,0
25,The Way I Loved You (Taylor’s Version),2,10,0
26,Forever & Always (Taylor’s Version),2,11,0
27,The Best Day (Taylor’s Version),2,12,0
28,Change (Taylor’s Version),2,13,0
29,Jump Then Fall (Taylor’s Version),2,14,0
30,Untouchable (Taylor’s Version),2,15,0
31,Forever & Always (Piano Version) [Taylor’s Version],2,16,0
32,Come In With The Rain (Taylor’s Version),2,17,0
33,Superstar (Taylor’s Version),2,18,0
34,The Other Side Of The Door (Taylor’s Version),2,19,0
35,Today Was A Fairytale (Taylor’s Version),2,20,0
36,You All Over Me (Taylor’s Version) [From The Vault] [feat. Maren Morris],2,21,0
37,Mr. Perfectly Fine (Taylor’s Version) [From The Vault],2,22,0
38,We Were Happy (Taylor’s Version) [From The Vault],2,23,0
39,That’s When (Taylor’s Version) [From The Vault] [feat. Keith Urban],2,24,0
40,Don’t You (Taylor’s Version) [From The Vault],2,25,0
41,Bye Bye Baby (Taylor’s Version) [From The Vault],2,26,0
42,Mine (Taylor's Version),3,1,0
43,Sparks Fly (Taylor's Version),3,2,0
44,Back To December (Taylor's Version),3,3,0
45,Speak Now (Taylor's Version),3,4,0
46,Dear John (Taylor's Version),3,5,0
47,Mean (Taylor's Version),3,6,0
48,The Story Of Us (Taylor's Version),3,7,0
49,Never Grow Up (Taylor's Version),3,8,0
50,Enchanted (Taylor's Version),3,9,0
51,Better Than Revenge (Taylor's Version),3,10,0
52,Innocent (Taylor's Version),3,11,0
53,Haunted (Taylor's Version),3,12,0
54,Last Kiss (Taylor's Version),3,13,0
55,Long Live (Taylor's Version),3,14,0
56,Ours (Taylor's Version),3,15,0
57,Superman (Taylor's Version),3,16,0
58,Electric Touch (Taylor's Version) (From The Vault) [feat. Fall Out Boy],3,17,0
59,When Emma Falls In Love (Taylor's Version) (From The Vault),3,18,0
60,I Can See You (Taylor's Version) (From The Vault),3,19,0
61,Castles Crumbling (Taylor's Version) (From The Vault) [feat. Hayley Williams],3,20,0
62,Foolish One (Taylor's Version) (From The Vault),3,21,0
63,Timeless (Taylor's Version) (From The Vault),3,22,0
64,State Of Grace (Taylor's Version),4,1,0
65,Red (Taylor's Version),4,2,0
66,Treacherous (Taylor's Version),4,3,0
67,I Knew You Were Trouble (Taylor's Version),4,4,0
68,All Too Well (Taylor's Version),4,5,0
69,22 (Taylor's Version),4,6,0
70,I Almost Do (Taylor's Version),4,7,0
71,We Are Never Ever Getting Back Together (Taylor's Version),4,8,0
72,Stay Stay Stay (Taylor's Version),4,9,0
73,The Last Time (Taylor's Version) [feat. Gary Lightbody],4,10,0
74,Holy Ground (Taylor's Version),4,11,0
75,Sad Beautiful Tragic (Taylor's Version),4,12,0
76,The Lucky One (Taylor's Version),4,13,0
77,Everything Has Changed (Taylor's Version) [feat. Ed Sheeran],4,14,0
78,Starlight (Taylor's Version),4,15,0
79,Begin Again (Taylor's Version),4,16,0
80,The Moment I Knew (Taylor's Version),4,17,0
81,Come Back...Be Here (Taylor's Version),4,18,0
82,Girl At Home (Taylor's Version),4,19,0
83,State Of Grace (Acoustic Version) [Taylor's Version],4,20,0
84,Ronan (Taylor's Version),4,21,0
85,Better Man (Taylor's Version) [From The Vault],4,22,0
86,Nothing New (Taylor's Version) [From The Vault] [feat. Phoebe Bridgers],4,23,0
87,Babe (Taylor's Version) [From The Vault],4,24,0
88,Message In A Bottle (Taylor's Version) [From The Vault],4,25,0
89,I Bet You Think About Me (Taylor's Version) [From The Vault] [feat. Chris Stapleton] 🅴,4,26,1
90,Forever Winter (Taylor's Version) [From The Vault],4,27,0
91,Run (Taylor's Version) [From The Vault] [feat. Ed Sheeran],4,28,0
92,The Very First Night (Taylor's Version) [From The Vault],4,29,0
93,All Too Well (10 Minute Version) [Taylor's Version] [From The Vault] 🅴,4,30,1
94,A Message From Taylor,4,31,0
95,Welcome To New York (Taylor's Version),5,1,0
96,Blank Space (Taylor's Version),5,2,0
97,Style (Taylor's Version),5,3,0
98,Out Of The Woods (Taylor's Version),5,4,0
99,All You Had To Do Was Stay (Taylor's Version),5,5,0
100,Shake It Off (Taylor's Version),5,6,0
101,I Wish You Would (Taylor's Version),5,7,0
102,Bad Blood (Taylor's Version),5,8,0
103,Wildest Dreams (Taylor's Version),5,9,0
104,How You Get The Girl (Taylor's Version),5,10,0
105,This Love (Taylor’s Version),5,11,0
106,I Know Places (Taylor's Version),5,12,0
107,Clean (Taylor's Version),5,13,0
108,Wonderland (Taylor's Version),5,14,0
109,You Are In Love (Taylor's Version),5,15,0
110,New Romantics (Taylor's Version),5,16,0
111,Slut! (Taylor's Version) [From The Vault],5,17,0
